speech,date,state,year
Mr. Speaker. I rise today to express my thoughts on the two pieces. of the $183.9 billion emergency supplemental appropriations bill that the House is considering today. Last year. I joined nearly ninety of my colleagues in the House in sending a letter to President Bush pledging that I will only support appropriating additional funds for U.S. military operations in Iraq during Fiscal Year 2008 and beyond for the protection and safe redeployment of our troops out of Iraq. The supplemental bill the House will vote on tonight does not include a number of important policy provisions regarding the war originally included in the bill that was sent to the Senate. These important provisions called for the responsible redeployment of U.S. troops from Iraq and required that troops begin to withdraw from Iraq within 30 days of the proposal becoming law. with a goal of completing withdrawal by December 2009. I am disappointed that the supplemental bill we are considering today does not include these provisions. and instead provides $162 billion more for this disastrous war. without conditions. I have heard and read the frustrated thoughts of many of my constituents who are simply tired of President Bushs war. They understand that we have spent an inordinate sum of tax dollars fighting a war that should have never been waged. They understand that our economy is suffering as a result of our resources being poured into this war. Tonight. I will vote against continuing to fund this openended war. However. Mr. Speaker. I remain in strong support of the second amendment to this supplemental appropriations bill. which will fund important domestic priorities. This domestic measure includes a new GI bill to restore full. 4year college scholarships to veterans of the Iraq and Afghanistan wars to help make them part of an economic recovery like the veterans of World War II. It also includes an historic extension of unemployment insurance benefits and assistance to disasterstricken areas in the Midwest where unprecedented floods have occurred. The number of Americans looking for work has grown by 800.000 over the last year. and the number of American jobs has declined by 260.000 since the beginning of 2008. Both of these measures are beneficial to our country. extraordinarily meaningful to our veterans. and will address the current economic struggle we face. As a representative of Silicon Valley. the hub of high technology in America. I am also happy that this amendment contains a modest amount of funding to help partially address the budget shortfalls facing the agencies that support our Nations research and development efforts. Mr. Speaker. I am disappointed that the amendment funding the war in Iraq is without strings or conditions. but more than pleased to prioritize our Nations urgent priorities in the second amendment to this appropriations bill. We must continue to invest in a positive future for our country.,2008-06-19,CA,2008
Its kind of a mouthful to hear this is a bipartisan bill when 42 amendments go to Democrats and 14 go to Republicans. Thats one Republican amendment for every three Democratic amendments. But its a bipartisan bill? Its kind of amazing for me to hear Democrats who talk about the war and talk about the need for Iraqis to start to cover their own expenses. and then they dont allow an amendment that says. when we train their security. we pay. The Iraqis dont have to pay the bill. In this legislation if we use our $1 billion thats in the section provided the Iraqis dont have to pay us back. Our amendment would treat it as a loan. This amendment is not being allowed on the floor today. Why not? Why not have a debate about whether the Iraqis should have to pay for their own expenditures. for their own security. when they have amassed over $40 billion in a separate fund that theyre not spending. and they have over $15 billion In their checking account which continues to grow each and every day. Why wasnt our amendment allowed? Theres a simple reason. It would have passed. What a fraud to say you want Iraqis to pay. and you wont even allow an amendment to be offered on the floor of the House that would require them to pay. Mr. Speaker. there is no reason not to have this debate. There is no reason 54. Pt. 8 May 22. 2008 not to educate ourselves about the dollars that the Iraqis have that theyre not spending. This is not a bipartisan debate. This is a partisan debate. Anything to deal with Iraq. if you have Republicans who wanted to be part of the solution. you say. No way. Its just going to be our way or the highway. I oppose this rule. It is a fraud to say its bipartisan.,2008-05-22,CT,2008
"I would like to thank you. Congressman WATERS and Congressman LEE. Before I got to Congress I thought both of you just were towering heroes of peace. Now that I have been here and had the chance to get to know both of you. I am certain that I was right from the very first impression I had of you. Thank you for standing up and calling this special order tonight. The point I would like to make is simply this. We see in Iran a country we have not had any open diplomatic relationships with since 1979. except for brief moments around IEDs last summer. The meetings have not been continued. and. in essence. we have had no real diplomatic relationships with Iran in many. many years. Many Americans dont remember the day when we did have relationships with Iran. Yet. despite all these years of having no diplomatic ties to Iran. no open communications. channels of communications. it really has not solved any of the problems. Not talking has not helped. I want to join with Representative WATERS and Representative LEE in calling for an open dialogue. unconditional bilateral dialogue. Dialogue is not a gift. dialogue is not a present. dialogue is not a reward. Dialogue is a tool that can help us stabilize the world. bring peace to millions and millions of people all over the world. Dialogues should not be used as some sort of a gift. It doesnt make sense for any nation to say capitulate to our demands. and then we will talk to you. The very purpose of negotiation is to say. lets talk. and the first agenda item could be serious problems we have with one another. But the start Is talking. unconditional talking. talking with a clear agenda in mind. talking with no illusions about differences. But talking. nonetheless. is something that I think we need. and we need it now. I want to say that our effort to isolate Iran by not talking to Iran. reminds me of our effort of trying to isolate Cuba by not talking to Cuba. Now everybody in the world does business with Cuba except the United States. American farmers wanting to sell grain. Cubans want to buy stuff from the U.S.. people wanting to see family. those things are hampered because we are the only ones in the world maintaining this policy of nondialogue. I fear that we could end up in the same way with Iran. Let me just point out an article in the Times online from March 3. 2008. The headline is. ""Four kisses. then the band played: the day former foes became friends."" It starts out describing a meeting between Mahmoud Ahmadinejad and Nouri alMaliki. It goes on to talk about how a young girl dressed in a white dress clutched a bouquet of flowers as she waited with a small boy in a smart suit to greet President Ahmadinejad of Iran. who began a historic visit to Iraq. Earlier today. we heard a speaker who I wont name say that. oh. the United States needs to get with China and Russia to isolate Iran. China and Russia. we cant even get Iraq to isolate Iran. We cant even get Iraq. a country we have invaded and essentially have taken over. though it does operate under the guise of sovereignty. we cant even get them to say dont talk to Iran. They have open relationships with Iran and are building them more and stronger every day. It doesnt make any sense. Now. its not just Iraq that has a welcome mat for Iran. But let me just say that when Americans. Members of Congress go to Iraq. all of us know we go into military aircraft that takes evasive. maneuvers into Baghdad. because we are concerned about our safety. This is a fact. So much for isolating Iran from Iraq. Okay. well. then. what about another country. Pakistan. We send a lot of money to Pakistan. Yet Pakistan announced in a March 5. 2008 article. the Times of India. Iran. on Wednesday. said it was ""ready to sign the IndiaPakistanIran gas pipeline deal."" but technical issues between the two are hindering the process. ""We are ready to sign the agreement as soon as possible."" Iranian Deputy Foreign Minister for Economic Affairs said. ""Everything is okay from our side. There are some technical issues between India and Pakistan."" he said. ""The IndiaPakistanIran pipeline. which is dubbed as the Peace Pipeline. is stuck over issues such as price and transition fees."" So much for isolating Iran from Pakistan and India. All right. so Iraq. they are talking to them. Iran. Pakistan and India are talking. but. okay. maybe we can still get Russia and China. countries that have militaries. countries that have economies. countries that have been freestanding and independent for many. many. many. many. many years. Okay. what about Afghanistan? Isnt that country essentially a failed state which we invaded and kicked out the Taliban and now are trying to reconstruct today? ""In the electricity substation just outside of Herat. western Afghanistan. theres the loud hum of powerIranian power."" thats right. ""More electricity reaches Herat than the city can use. but the industrial park just across the road from the NATO military base is putting it to good use. ""Small plastic bottles of fizzy orange juice shuffle along the conveyor belt to be labeled and packedthe building is noticeably Iranian in design and the markings on the machinery show exactly which country helped these Afghan businessmen. ""The camels grazing outside cautiously cross the fast. straight. asphalt roadone of the best roads in Afghanistan stretching 120km to the border. ""Soon a railway will link Afghanistan to Europe. or so boasts the Iranian government."" I would just mention. with a quick Google search. Iraq. India. Pakistan and. now. Afghanistan are all coalescing economically with Iran. We are not talking to Iran. We dont talk to Iran. We dont want to try to get into that market of 70 million people. We dont want to try to open up diplomatic ties and work on issues. We are not trying to solve this nuclear conflict with dialogue. discussion and open conversation. We are just trying to isolate them. but nothing suggested we are being successful at doing that. The fact is maybe isolation of Iran is not the right tactic. Maybe the right tactic is to try to talk to them. to try to build a better relationship. to try to have cultural exchange. try to have exchange of views. different though they may be. with an eye toward a more peaceful world. with an eye toward a world In which people can have security and in which an eye toward which the world can rest and feel their children are safe at night. The fact is this saber rattling. I remember that it was about maybe 16 months ago that I sat in my first meeting that I ever had with the President. with. I believe. Representative LEE and Representative WATERS. I think it was Representative LEE who said. are you. Mr. President. planning on hitting Iran? He gave us a sure statement that he was not. Yet ever since that time. all we have been hearing. time and time again is that Iran is the problem. I dont know how Iran could be the problem in Iraq without the complicity of the Iraqi government. I mean. I need somebody to correct me on this point because I just dont get it. How can Iran be an issue in Iraq unless Iraq wants them in the country. It just doesnt make any other kind of sense to me. and I need somebody to explain that. because maybe I have just not been in Congress long enough to get it. Let me just say. I want to move aside now. and I want to thank the two Members who have been leading the charge. along with Congresswoman WOOLSEY. who is recovering from back surgery. I know if she was feeling better she would be right better with you. the triad. the triad for peace. I admire you so much.",2008-04-15,MN,2008
Madam Speaker. I rise today in opposition to this rule. Yesterday the CulbersonReichertShays Iraqi reconstruction amendment was offered and subsequently ruled out of order before the Rules Committee. The intent of this amendment was to allow for the recent gains in Iraq to continue and at the same time reduce the burden on American taxpayers. Since April 2003. United States taxpayers have spent more than $46 billion in reconstruction in Iraq. This amendment would have allowed us to begin to reduce American taxpayer dollars going to Iraq for reconstruction. This amendment would have directed that U.S. taxpayer dollars going to Iraq. to come to Iraq in the form of a loan. It would have enabled the Iraqis to still have a steady flow of reconstruction funding should they be unable to draw down their own funds. Now is the time. especially with skyrocketing oil prices. for the Iraqis to stand up and take responsibility for their own reconstruction. In order for the Iraqi Government to stand up their economy. they must take the responsibility. they must bear the costs for reconstruction of their own country. not the American taxpayer. I oppose this rule.,2008-05-15,WA,2008
"Madam Speaker. it is good to be here with Mr. KLEIN and Congressman BRALEY. Before I talk about Iraq. I have to respond to a couple of things that were said a few minutes ago by our friends from the other side of the aisle who used the word ""truth"" frequently and talked about their children and grandchildren. And I am sure they are sincere. but to those of you Americans out there listening. I am sure you can remember that when President Bush took over with Republicans controlling both Houses of Congress in the year 2001. be had a surplus delivered to him by the Clinton administration. In the years since then. these folks you just heard talking. who profess to know what is best for our economy. have delivered to the United States. from a surplus when we were paying down the national debt. now the biggest deficit in the history of our country. the biggest balance of trade deficit. the biggest individual debt by Americans that is held. whether it is credit card debt or home second mortgage debt. and now we have the housing crisis. the subprime crisis. and various big box stores I was reading today are getting ready to file for or have already filed for bankruptcy. including some that we have seen proliferating around the country and have assumed that they were on solid ground. So I would take all the proclamations you just heard and the fancy charts that you just saw from the Republican hour before us with a grain of salt. The tax increase that they claim we are voting for is actually something that they. when they installed their tax cuts early in the Bush years. they installed it by putting in a sunset provision that is their creation. not ours. So I stand here and say that we have not in fact voted for anything like this biggest tax increase in history. It is a theatrical and dramatic presentation. well acted. and possibly even believed by them. but it is not the truth. As far as Iraq goes. we are spending $12 billion a week in Iraq. and I have started to look at the needs of our country and my district in particular in terms of how that money could be used here because we are basically running on fumes financially. I just visited 13 bridges that are on the dangerous faulty bridge list that came out after the 135 bridge collapse in Minnesota. and the estimate of the New York State Department of Transportation is that it will cost about $60 billion to fix all of the deficient bridges in the State of New York. That is 5 months in Iraq. I just came back 2 weeks ago from visiting a Nogales. Arizona. checkpoint on the Mexican border. Congressman BRALEY was on that trip. along with Congressman ARCURI. And we asked at every step of the way the Customs and Border protection officials what they need from Congress and what would their wish list be. They said basically if it was Christmas and they could have everything that they wanted in terms of infrastructure. primarily what they need is more loading docks to unload the bales of marijuana that are stacked in front of an 18wheeler behind a load of watermelons. or more bandwidth for more computers so they can get 10 fingerprints processed faster to establish somebodys identity. All of it. northern border. southern border. all ports on both coasts. $500 million a year for 10 years. That is $5 billion. Thats a little bit less than 2 weeks in Iraq to secure both of our borders and all of our ports. That sounds to me like it would actually make our country more secure. not that we want to shut the borders down. but wed like to know whos coming and whos going. whats coming in and whats going out in terms of drugs. in terms of agricultural products that might be infested. in terms of currency smuggling. So anyway. theres a real cost to all these things. And I would just say. after hearing General Petraeus and Ambassador Crocker for the second time. its clear that the goals in Iraq that were spending this $12 billion a month on have been changing. that the goal posts have been moving. that 5 years after the initiation of this war and the death of 4.017 of our mothers. fathers. sons and daughters. brothers and sisters. I have a figure of 29.676 wounded. the estimate before the VA. Veterans Affairs Committee. last summer was that if the war stopped at that point wed be looking at $1 trillion for the lifetime care of grievously wounded soldiers returning from Iraq. Thats four injuries primarily. traumatic brain injury. PTSD. spinal cord injuries that cause paralysis. and amputations. And these are. fortunately. men and women who were able to save today in the battlefield because our battlefield medicine is so much better than it was in Vietnam. for instance. The ratio is about 16:1 wounded to killed where in Vietnam it was about 2 :1. Thats the good news is that were saving more of these mostly young lives of brave Americans whove gone over there and fought and carried out their mission. But the bad news is that the American public has not been told yet that. on top of the figures you mentioned. theres at least $1 trillion lifetime care for the wounded from this war that were already looking at being responsible for. And we have to take care of these wounded warriors. You cant pay for the war and forget about the warriors. So I would just say that we need to look at this in terms of a broad view of national security and a realistic. cleareyed view of where we are financially and whether we can afford it. And with that. I yield back to Mr. KLEIN.",2008-04-16,NY,2008
Madam Speaker. as we debate various issues here in the United States Congress and in this House. it is sometimes important to remind Members of the history of this Nation and the importance of matters that Members discuss. They are called suspensions. but theyre no less important and speak eloquently to the history and the diversity of this Nation. I would quickly like to acknowledge my support for the Civil Rights Act of 1964 commemorative coin and support my colleague JOHN LEWIS for offering this very important initiative. for a country that does not remember its history is doomed to repeat the past. Weve gained much from the Civil Rights Act of 1964. and I support the legislation. As we speak today about honoring our history. I am also reminded that this is the week of the 40th anniversary of the assassination of Dr. Martin Luther King. This past Friday. I was able to stand in front of the hotel in which he was assassinated. walk out on to the balcony and be reminded of this peaceful giant. And so It is important for us to take a moment. of which we will do on this coming Thursday. to remember not so much his death and the violence of his death. but his love for humanity and the ability to bring people together. He truly was a leader of a movement. Today. I stood with my colleagues. Congressman BACA and others. to support the national holiday for Cesar Chavez because they were brothers. Martin King and Cesar Chavez. I think it is important as we look at Womens History Month that we recount not only our national figures as I support the debate that reminded us this past month. March 2008 was Womens History Month. how exciting it is to see the historic opportunities that women have had and are increasingly having. knowing that they just gained a vote in 1920. I was very honored to be able to bring to the attention of my colleagues Ramona Tolliver. a champion and a fighter for empowerment of those in the Fifth Ward area. Nellie Joyce Punch. again from Houston. a fighter for those in the Fifth Ward area and educator and a lover of providing equal opportunity to young people. Dr. Deason. a longstanding principal in Houston of the High School for Health Professions. There is certainly no greater lover of education and helping our children than Dr. Deason. And certainly I think it is important to acknowledge Commissioner Sylvia Garcia in Houston who has turned the corner as the first woman commissioner in Harris County. Then. of course. I salute Shirley Chisholm and Carole Mosley Braun. women who ran for President. and my former predecessor Barbara Jordan. Women are on the move. and it is certainly important to acknowledge their history in this country. and it should not be ignored that women have 54. Pt. 4 April 1. 2008 struggled to overcome. and that is. of course. the women who get up every morning and ride the buses and teach the schools and work for us in restaurants and in hospitals and are doctors and lawyers and others. Women deserve the honoring of this month. And one who certainly deserves it is a Civil Cross winner. a young 19yearold from Texas. Monica L. Brown. Which brings me to the upcoming testimony of General Petraeus and Ambassador Crocker. Having just come back from Iraq. let me simply say that the legislation that I have offered. which I will discuss over the next couple of days into the testimony of the two individuals that will be coming. first of all. let me thank them for all of their service and offer my concern for the public servants and U.S. personnel in the Green Zone. of which we have stayed. who have been bombed in the last couple of days. It is the very clarity of what I saw that says to me it is time to bring our troops home. We serve no large purpose to engage in. if you will. the civil war that may be going on in Iraq. We can serve as technical advisers and counselors. and we can bring other nations together to assist in a peaceful transition. We can. as my bill says. bring our soldiers home in honor and begin a diplomatic surge. make the Maliki government engage in nonsectarianism. as the Sunnis told me face to face. eliminate the sectarianism. Shiite and Shiite. Kurds and Sunnis. and begin to talk about a stable Iraq. That is not Americas task. it is a task of the Iraqi government. the Iraqi people. And it certainly is a task that we must charge Iran for them to stop sending mortars and ammunition to create the havoc that is going on. But that is not the war. That is not the resolution. That is not the war of America. It is clearly a time to transition. Those are the hard questions that we will pose to our heroes. Ambassador Crocker and General Petraeus. We appreciate that they have been trying to serve America in the best way possible. but it is now time to serve not only America and our sons and daughters but the American people who deserve an Investment in their country. a rebuilding of the military. and an acknowledgment and celebration of the heroes of the Iraq War and certainly a recognition of those who still fight in Afghanistan for it is time now to focus our attention there. With that. Madam Speaker. we look forward to saving America.,2008-04-01,TX,2008
Id like to thank the gentlewoman from Ohio and all my colleague here tonight. Im going to carry this conversation a little further about fiscal discipline because all of us elected last year. Democrats and. interestingly enough. Republicans. have supported fiscal discipline. but got way off track over the last 10 years. Its now the Democrats. many of us. who are sort of leading the fight. We are the fiscal hawks. We are the ones saying this is totally unacceptable for all the reasons you heard tonight. I think the gentleman from Vermont already mentioned this. but its worth restating. The Bush administration is responsible for the five biggest deficits. and that total is a staggering amount. But I want to just take that one step further because this is the kind of change that we are going to deliver. Given the opportunities over the next couple of years. hopefully in a bipartisan way. that is the way we get things done here. but looking at this figure here. this is a chart that says: Taxpayer spending on Iraq war versus Federal spending on other priorities. This is for last year. fiscal year. It has the cost of the Iraq war. $150 billion. The cost of NIH funding. that is all the research that government does. all the research on cancer and heart disease and Alzheimers. all the things that afflict our families and our communities. it is a substantial amount of money. But that figure. plus all the college tuition assistance. everything we do to try to make sure that kids get into school and get a college education. which we know is so important in the world economy. plus the cost of all the childrens health care we provide in the United States. and all the cost of all the bridge repairs and road building and all the things that go on in every single one of our communities. sewers. roads. bridges. all those kinds of things. if you take the cost of roads and bridges. the cost of research. the cost of all the college tuition and the cost of all the health care. that total sum is less than what we spent on the Iraq war. Now. we debated at length whether the Iraq war is a good war or not or has accomplished a lot. I personally believe. and I serve on the Foreign Affairs Committee. that. unfortunately. the real threat against our national security is in Afghanistan. And it still boggles my mind and most Americans that Osama bin Laden. who committed the worst crime against Americans in our history in the United States. is still free somewhere in the world perpetrating additional threats against the United States through al Qaeda. The problem. of course. is that be and others most likely are in Afghanistan and Pakistan. the mountain areas there. Unfortunately. we took our eye off the ball. But lets put that issue aside. Hopefully we will be able to deal with that in the near future with the next President. Lets just talk about. we have spent $650 billion. I want everybody to remember this number. that is $339 million we are spending each day on the war in Iraq. $339 million per day. Lets think about what we could do with that money. I mean. we could have a debate at length here. and I am sure everybody listening tonight on the floor and throughout our country would have lots of good Ideas that are legitimate priorities for our country. Yet we are spending that amount of money. Now. is there an answer that the Democrats have put forward? You bet there is. What was this war sold to us on in terms of how it was going to be paid for? Oil revenues. Iraq sits on the third largest oil revenues and reserves of oil in the world. $80 billion. it is reported. in banks. some of which is in New York. Eighty billion dollars. That money was supposed to pay for the cost of reconstruction of Iraq. the cost of our military fuel and the cost also of the retraining of the military in Iraq. our military training their military. All legitimate things. Yet what has happened? President Bush has refused. the Republicans have refused to do that. Now. I introduced a bill. H.R. 1111. H.R. 1111. I said it is number one. put Americans first. I think most Americans would agree with that. Lets take the money that Iraq has. it is $80 billion. and let them pay for the cost of their reconstruction. the cost of our men and women training their military. and our fuel costs. That is common sense. That is what we were told in the beginning. They have got the money. Lets get on with it. That is how we can start putting Americans first and all the priorities that are so important to fixing our economy. getting jobs created. getting an educational system. getting health care put back together. Social Security. Medicare. all the priorities that make America strong on the inside first. So I think that is a very important point. and we finally got a little bit of discussion on this. But the reality is this is the kind of leadership we are offering and we are providing.,2008-09-10,FL,2008
"Mr. President. on February 11. 2008. the Congressional Budget Office responded to an inquiry from Senator KENT CONRAD. the chairman of the Committee on the Budget. regarding the costs to date of U.S. operations and involvement in Iraq and Afghanistan. Allow me to quote in full the critical summary line of this letter: If the administrations request for 2008 is funded in full. appropriations for military operations and other warrelated activities in Iraq. Afghanistan. and elsewhere in the war on terrorism will rise to $188 billion this year and to a cumulative total of $752 billion since 2001. It can be difficult to truly grasp how large a number is $752 billion. Let me offer some comparisons. According to Forbes Magazine. the worlds most expensive car. a 1930 Bugatti Type 41 Royale. is worth an estimated $10 million. For $752 billion. one could own a fleeta fleetof 75.200 Bugatti Type 41 Royales. that Is. if more than 6 had ever been made. or for $752 billion one could purchase 442 space shuttles at $1.7 billion each. according to NASA. Here is one final comparison: According to the Bureau of the Census. the average price of a home in the United States in 2007 was $311.600. Let me repeat: According to the Bureau of the Census. the average price of a home in the United States in 2007 was $311.600. assuming one could still get a mortgage In todays real estate market. For $752 billion. one could buy 2.413.000 homesenough homes to house every family in a city roughly the size of Jacksonville. FL or Indianapolis. IN. That is $752 billion and counting. as the Presidents fiscal year 2009 budget request has come in. and Secretary Gates has suggested that after the ""surge"" troops come home. troop levels In Iraq will notnot--drop below 130.000 for at leastat leastthe remainder of this year. In Afghanistan. the 27.500 troops currently deployed will be augmented by an additional 3.200 marines this spring. So I do not believe that this budgetary comet will do anything but continue its meteoric rise. We all might still count this $752 billion as well spent if we thought we were getting good value for our money. if both nations were being rebuilt and showing signs of stability and recovery. However. there is evidence that the vast sums of money being thrown at Iraq and Afghanistan are not all being well spent. Far too much money is being siphoned off to line the pockets of greedy contractors while the work which they are being paid to do goes undone or is poorly done. Alarmingly. money. weapons. and oil profits have apparently been delivered directly to insurgents and militias that are not under government control in Afghanistan and Iraq. That must be stopped. In Afghanistan. one U.S. think tank recently estimated that only $1 of aid out of every $10 actually reaches an Afghan. In Iraq. a local Iraqi businessman told a reporter that: Id say that about 10 percent of business was corrupt under Saddam. Now. its about 95 percent. We used to have one Saddam. now we have 25 of them. Despite the growing reports of corrupt practices and the rising number of allegations of the fraud. waste. and abuse of Government contracts. not enough is being done to apply diplomatic pressure on the Governments in Iraq and Afghanistan to clean up their acts. and not enough resources are being applied to efforts to investigate and prosecute contract fraud. Congress has been watching. holding hearings. and complaining on behalf of the taxpayers. but much moremuch moreneeds to be done. After 7 years. we cannot continue to hide behind feeble excuses. Too much money is being lost to continue to let the systemic abuses persist. After 7 long years. 7 long years of occupation and reconstruction efforts. much. much remains undone that was supposed to be done long. long ago. As long as incountry government officials and all of the associated contractors continue to profit from corruption and an unchecked ability to commit fraud. waste. and abuse. there is littlelittle. I sayincentive for anyone to make the progress that would assist the United States and the rest of the international community in departing. American taxpayers and the Committee on Appropriations have invested $752 billion in Iraq and Afghanistan. We expect to see that treasure treated with the same respect that we give to our troops. They too have worked hard. They too have sacrificed much to provide the security for reconstruction efforts to take place. None of that sacrificenone of that sacrificeshould be thrown away on cases of fraud. waste. abuse. and through rampant corruption. Ithe personal pronoun Iintend to conduct a hearing on this matter as a first step. as a first step in what will be a long. long. hard look at just wherejust wherethe taxpayers hardearned money has been going. I intend to invite Senator DORGAN. I intend to invite Senator LEAHY. and I intend to invite Representative WAXMAN to testify on the findings of their earlier investigations. I will also invite other witnesses to offer their expertise on issues concerning the abuse. misuse. and loss of U.S. funds to corrupt practices. I appreciate the encouragement and support of our Democratic leader. Senator REID. in tackling this issue. This is not a partisan issue. Good governance and the wise use of taxpayer dollars are always nonpartisan goals. It is the responsibility of all of usand I mean all of usto determine the scope and the scale of the problems and then to devise the bestnothing but the best. and only the bestand fastest solutions to fix them. I yield the floor.",2008-02-14,WV,2008
Mr. President. earlier today. on the floor of the Senate. we heard distinguished colleagues from both sides of the aisle supporting an effort that we pass a new GI bill of rights for the 21st century. We heard the distinguished junior Senator from Virginia. Jim WEBB. who with his own hand. took it upon himself to author a piece of legislation that would make sure we as a nation kept our promises to those who have served since 9/11 by providing them the kind of educational opportunity that was provided to those who served in World War II. In that effort. as I presided over this Senate floor. I heard the very eloquent comments of Senator CHUCK HAGEL. himself a great servant of this country and a great Senator. in support of the legislation by Senator WEBB. During the same time. we beard the comments from Senator WARNER. one of the most eloquent and distinguished Members to ever serve in the Senate. So I come to the floor today to once again say all of the sponsors of that legislation send a loud and unmistakable signal to everyone who has a say in this emergency supplemental that at the end of the day we must make sure this 21st century GI bill of rights is one that is included in this emergency supplemental that deals with Iraq and Afghanistan so that we. in fact. can honor our veterans who have served since 9/11. We can do no less as a nation. We can do no less when we think about the great sacrifice of the now 1.6 million men and women who served in Operation Iraqi Freedom and Operation Enduring Freedom. When we think about those who have served. we must first stop and pay tribute and honor to those who have given their lives as the ultimate sacrifice on behalf of their country. as well as those who have been wounded and hurt in those wars. In Iraq. the current number I have as of today. 4.078 Americans have been killed in that wara war that is now in its sixth year. When the invasion occurred. there were predictions at the top of the Pentagon that this war would. at most. take 50 American lives. Somehow now we have surpassed the 4.000 number with 4.078 of our bravest men and women who have given their lives in Iraq. It does not count the number of others who have been scarred either physically or mentally in that war as well. Those who have been wounded with physical scars. according to the current numbers we have from the Department of Defense. now exceeds 30.000 of our best. For many of us in the Senate. as we have gone to Walter Reed or to other hospitals of the Department of Defense or veterans hospitals. we see the reality of what has happened to many of those who have come back without limbs and with other kinds of injuries that will stay with them the rest of their lives. We do not have a firm count with respect to the other 1.6 million who have served there as to how many of them have suffered the mental scars of war. We know there are some estimates that it is as high as 20. 25 percent of them who will suffer from some form of posttraumatic stress syndrome. So the number we are talking about who have borne the burden of this war in Iraq. as well as the war in Afghanistan. is a number we should never forget. It is not just in Iraq but also in Afghanistan. We now have a casualty list which includes 497 Americans. We have about 2.000 who have been physically wounded and many more who suffer the mental scars of war. When I think about what we are trying to do with this 21st century GI bill of rights for those who have served since 9/11. the thing I find most objectionable is that some of those on the other side and others who would oppose this legislation say it is too costly. that we ought not to undertake it because it is too costly. In the context of what we have spent in Iraq and will be spending in Iraq. it is a very small amount of money to make sure we are taking care of our veterans once they return home. In Iraq. the total number. as of today. that has been spent on that war is $525 billion-$525 billion. Secretary Rumsfeld. at one point in time. said no way. no how will we ever spend $50 billion on this war. Yet somehow. today. some 6 years later. it is $525 billion plus that has been spent on the war. When you consider the expenditures the United States is projected to make to bring this war to conclusion. some estimates out there are $3 trillion-$3 trillionwhat we are trying to do with this 21st century GI bill of rights is simply to provide an opportunity for those who have served since 9/11 to get an opportunity for an education at a cost that would be $2.5 billion to $4 billion a year. When we consider the fact we are burning $12 billion a month in Iraq today. to provide this benefit to our veterans at a cost of $2.5 billion to $4 billion a year is a very worthy investment. and in the relative context of how much is being invested in that war effort. it is a very small amount. I would hope at the end of the day it is not only 60 Senators who vote yes to include this 21st century GI bill of rights in this emergency supplemental. but that we could get a unanimous approval out of this Senate that this is the thing we should do because it is the right thing to make sure we are taking care of those who have served us since 9/11. Again. I appreciate the great leadership of our good friend. JIM WEBB. who has worked so hard to bring together so many cosponsors of this legislation both here in the Senate. as well as the House of Representatives. I urge my colleagues to fully support this legislation as it moves forward. I yield the floor and suggest the absence of a quorum.,2008-05-20,CO,2008
"Mr. Speaker. I yield myself as much time as I may consume. I rise today to urge passage of this bill designating the facility of the United States Postal Service located at 59 Colby Corner in East Hampstead. New Hampshire. as the Captain Jonathan D. Grassbaugh Post Office. Described by his family as ""the epitome of an officer and a gentleman."" Captain Jonathan Grassbaugh was a truly remarkable young man. Born into a military family. Captain Grassbaugh moved to New Hampshire at the age of 3. After graduating from Phillips Exeter Academy. he attended Johns Hopkins University where he earned his degree in computer science. During his time at Hopkins. Jonathan rose quickly through the ranks of his Army ROTC class. selected as the cadet battalion commander his senior year. Jonathans dedication and sense of honor served as a driving force behind the JHU Ranger Challenge team winning brigade competitions 2 years in a row and the battalion being rated third in the nation among 270 ROTC units. In the words of one of his professors. ""In my 9 years of teaching ROTC. Jonathan Grassbaugh was by far one of the most energetic and conscientious young men that I have ever had the honor to teach."" In 2005 during his first tour in Iraq. Captain Grassbaugh served as aidedecamp to Brigadier General Michael Ferriter. a top adviser to the U.S. military commander in Iraq. Speaking at Jonathans funeral. Ferriter commented on the young man he grew to know so well: ""He made me a better leader and a better man. He was simply as good as it gets. He was the best. a warrior. friend. comrade. loving husband. and caring son."" In June of 2006. Jonathan married his college sweetheart. Jenna. just a few days after her graduation from Hopkins. A few weeks later he was deployed to Iraq as a member of the 73rd Cavalry. 5th Brigade of the 82nd Airborne Division. On April 7. 2007. the 25yearold Grassbaugh was killed by an IED while conducting a combat logistic patrol in Zaganiyah. Iraq. A loving husband. dedicated son. and accomplished soldier. Captain Grassbaugh was and will remain a shining example of Americas best. Though we will never have the privilege of knowIng the limits of his seemingly endless potential. the memory of his spirit. honor. and dedication should live on as an example to others. In the words of the Reverend Frederick Pennett at his funeral. ""He laid down his life for us and for his country. There is no greater love than this. Jonathans story and his memory will go on forever."" I urge that we help preserve the memory of Captain Jonathan Grassbaugh with passage of this bill. and I ask my colleagues to join me in supporting this fitting tribute. I reserve the balance of my time.",2008-02-28,NC,2008
