speech,date,state,year
"Mr. Speaker. the President came to Capitol Hill today to rally his Republican troops. Why did he need to do that? Well. a District Work Period is about to begin. that is why. Members of Congress are going home to face questions from their constituents. Here are some of the questions the Republicans are going to have to answer: Why did a Republican President send our soldiers off to war without a plan? Almost 800 brave American soldiers have died and several thousand soldiers have been injured in Iraq. Well over half the casualties have occurred since the Presidents PR stunt on the deck of the Abraham Lincoln to announce that combat was over. If combat ended months ago. what exactly is going on in Iraq today? Here is another question on the minds of Americans: How did the Presidents team in the Pentagon allow the worst atrocities in our history to occur in Iraq? New abuse revelations surface every day. but the administration keeps looking the other way as if hoping the crisis will go away is an effective strategy. It is the Presidents favorite tactic. There is another question just beginning to emerge that the President and Republicans will consider radioactive. that means deny. deny. deny. The question is: Mr. President. Mr. Speaker. why did the President not tell the American people we were going to reinstitute a military draft? Why did the Congress not have an opportunity to debate the issue? Why did you reinstitute a draft without considering the bill that the gentleman from New York and I cosponsored? At least. under our bill. young Americans would have a choice about whether they fight in Iraq or perform public service. America needs to understand the President is not calling it a military draft. That is the White House way. call it something else and hope you get away with it. But as the saying goes. if it looks like a duck. walks like a duck. and quacks like a duck. then it is a duck. It is a silent draft. Here are some of the headlines and news stories that America should know about before the Republicans arrive home to say they are doing a great job. In Seattle. ""Military Says It Might Return Some Former Soldiers to Duty."" Here is the lead sentence. ""Hundreds of Washington residents who thought they might be done with their days in the Army may be pulled back into service in the weeks ahead."" The Oregonian newspaper says. ""Army Does AboutFace on CallUp Readiness."" The story says. ""Thousands of recent U.S. Army veterans nationwide were told to choose by Monday a new assignment in the Army Reserve or National Guard. meaning a potential return to active duty. or the military would decide for them."" Rumsfeld blindsided the Congress and the American people and the Supreme Court on the prisoner atrocities in Iraq. The Vice President and Deputy Defense Secretary Paul Wolfowitz did it this time. They never mentioned the new order when they briefed the Senate Committee on Armed Services the other day. Maybe they can update the Congress and comment on something else the Pentagon has ginned up. UPI reports today that the Pentagon may use the IRS to find the Reservists. Imagine. soon American men and women can get a tax refund and orders to report for duty in one envelope. That is real government efficiency. Thousands of soldiers were recently denied what President and the Defense Secretary promised. a oneway ticket home after a year of combat in Iraq. They were not asked. they were ordered to stay. That is no choice. That is a de facto military draft. The President has reinstituted a military draft. but he will not tell the E 10715 American people he needs more soldiers to fight his war in Iraq because he has no plan and the fighting gets bloodier every day. The President is keeping soldiers in combat for over a year. That is more than twice as long a stretch as was expected of people in the Second World War. The United States today has a draft. No wonder the President was on Capitol Hill today trying to rally Republicans. Maybe he should draft them. At least they would see real shared sacrifice and shared risk. Today. Americas minorities bear an unfair share of the consequences of this war. The President and the Republicans will not tell us that. they will say the war is going well. the department of war is doing perfectly. Watch the evening news. read the newspaper. decide for yourself whether the Presidents war is going well. Make no mistake about it. they need more soldiers and they are taking the steps to get them. whether they volunteer or not. That is the definition of a draft. Mr. Speaker. You ought to tell the President that he ought to just come right out and say it. he is going to draft people any way he can to avoid talking about it before the election.",2004-05-20,WA,2004
Mr. Speaker. on the 1year anniversary of the war in Iraq. I rise to applaud the Iraqi civil leaders who last Monday on March 8 signed the interim constitution. the Transitional Administrative Law. With the adoption of this law. the governing council has taken a historic step forward towards a democratic Iraq. It took only 12 months. Mr. Speaker. to defeat Saddam Hussein and transition to an interim constitution. Now. my colleagues. it took 6 years for the first State in the Union. Delaware. to ratify our Constitution. and several more years before the original 13 finally ratified. Iraq is moving at a much faster pace. One year ago. the naysayers said we did not have enough forces in place to defeat Iraqs military. Naysayers said we could never find Saddam Hussein. and naysayers doubted that we could get Kurds. Shia. and Sunni Muslims to agree on anything. Mr. Speaker. 1 year later the naysayers are wrong.,2004-03-17,FL,2004
"Mr. Speaker. this resolution is extraordinary. not for what it says but for what it deliberately refuses to admit. The President took us to war. An immediate nuclear threat was the bait. This resolution is the switch. In the aftermath of the war. we found no stockpiles of weapons of mass destruction. and with shifting justifications coming from the President and memorialized here in this Republicancrafted resolution. I cannot help but feel. as my constituents do. that we were sold a bill of goods. Not surprisingly. todays feelgood peprally resolution does not speak to these issues. What it does provide is the background music for justification revisionists. But since we have not discovered the promised stockpiles of weapons. we have a big problem. Not that our failure to find the weapons is not a big problem or that al Qaeda forces sneaking into Iraq is not a big problem or that nation building a place the size of California is not a big problem. The real problem is an utter lack of White House credibility. It is gone. Having not just cried wolf. but rabid wolf. this administration has lost its credibility with the Congress. with the American people. with the people of Europe. even with the people of ""New Europe."" and with the international community. And the credibility gap extends to the plans for what we would do after the war. We won the war. The Secretary of War makes good war. And for the peace we were assured. the American people were assured that there was a plan. In fact. there was. It was crafted by the State Department. It spoke to all of the issues and problems that we have come up with until today. and it was scrapped by the Secretary of Defense. So how are the American people supposed to believe that the current plan to hand over power to the Iraqis on June 30. ready or not. come hell or high water. will actually work when all the expertise the United States Government could muster in advance has been summarily dismissed? I have concluded that the administrations plans to get us into the war was bait and switch. and the plan to get us out looks like cut and run. Finally. I am deeply concerned that the war against Iraq has undermined our stated Bush national security doctrine on preemption. Surely we face a new and different world in the wake of September 11 and we must think differently about how to win the war on terror. but preemption as a valid and legal doctrine for selfdefense depends on imminence. an imminent threat to our national security. What we have discovered in Iraq is that there was no imminent threat and that our intelligence about Saddams weapons was far from the mark. The administration has destroyed its credibility with the world community. and if by our actions we have transformed preemptive war into preventative war. then despite what todays resolution says. we have not made the world a safe place but a more dangerous place in the long run.",2004-03-17,NY,2004
"I want to thank the distinguished gentlewoman from California. First of all. I want to thank her for her determinedness. Some would wonder why we would spend time on the floor late into the evening trying to dissect. whether it is HIV/AIDS and the funding that she worked so hard for and we are finding now that the funding is falling short. working on questions of war and peace. and they would simply wonder why we are here at this time of night speaking to our colleagues and debating an issue. I want to thank her for always being ready to educate not only Americans but our colleagues on these issues that are so particularly sensitive and important to many people who cannot speak for themselves. I thank her for allowing me to join in this evening with my colleagues from Florida and North Carolina and Maryland. I want to read the roll tonight. because this is. I think. the way to shock a lot of us into realizing what has happened when you begin to spend moneys that do not have priority. are not prioritized. I know that the gentlewoman did not call me to the floor. and I did not come to the floor. to begin a debate on the question of Iraq and the expenditure of $87 billion and the mounting billions. I guess we are up to $175 billion. going up to 200 at this point because we are spending. as I understand it. I know we are spending a billion a month in Afghanistan. I know we need more troops in Afghanistan. and I think none of us. if I can just repeat the statement that I make all the time. are divided amongst our support to the troops. and we respect the young men and women that are on the front lines in Afghanistan. Bosnia. Germany and Iraq. But I think many of us made the point that we questioned the value of going to war in the first place. and now where we find ourselves as we look toward the future. one. in an unsolved resolution of the conflict in Iraq. It is unsolved. there is no resolution to it. there is no plan. and so we continue to spend money in Iraq. and we have many ills and problems with it which really has created. where I am going. the $551 billion deficit that we now face and that is because we have not made priorities. we have not had an administration that has been willing to make the hard choices. I heard a discussion of the President and I always tell my constituents. I respect the office. I respect the person. but I heard a discussion. I think. this past Sunday where there was no reason given for going to war and there was no reason to give response to the state of this economy. It was that we will get jobs. or they are coming. and it does not really address the fact that as the Commander in Chief and the CEO of this Nation. you have to sit down and make hard decisions. Are you going to put together a domestic spending budget that addresses the needs of our people. all of our people. the hurt. the pain of the people? Or are you going to say. it is going to fix itself? And I think what I heard in the Presidents presentation is. it will fix itself. Well go ahead and put $1.1 trillion in permanent tax cuts. mostly to both the richest of Americans and also to corporations. In doing that. we will then put ourselves in a position to see the $551 billion deficit continue to grow. and as well we will see it grow into 4 to $5 trillion. The gentlewoman and I were together over the weekend in a very important meeting. and we heard the point being made that what that symbolizes. what that means is that the President and the Vice President are sitting late at night and. like me. have their glasses on. I imagine. and looking over Social Security checks that need to be going out to our constituents and literally endorsing them to pay our bills and to pay the permanent tax cuts. taking your Social Security fund. if we do not put a stop to it. and literally endorsing them for this increasing deficit and the tax cuts that are now being made permanent. or at least proposed to be permanent. That is what I say when I am talking about priorities. We are now facing a 10year deficit of at least $4 trillion. We have about $551 billion in deficit right now. $146 billion more than we projected in 2003. So what has happened is. let me just begin to read the roll. In the budget proposals. here is what is happening to programs that Americans have become used to depending on. I am not even listing the crisis that we have with the Medicare prescription drug question where we started out saying it was $400 billion. now it has risen to $534 billion. and we have got a lot of complaining in the United States Congress. I think we have said that when we debated on the floor of the House. we needed a precise. narrow bill that dealt with giving a guaranteed prescription drug benefit to seniors. E 1945 We did not need an investment in our good friends in the pharmaceutical industry. We did not need an investment in the HMOs. We did not need to tell this government that it could not even negotiate a cheaper price. but that is a whole other story. But listen to this: No moneys for the advanced technology program. That is a program that typically. $171 billion. used to help. if one will. put together programs and technology programs for the benefit of small companies. That is gone. Technology opportunities programs. We have talked a long time about digital divide. That is now gone. We will not get that. Programs dealing with alcohol abuse reduction. We used to have a program that would help deal with alcohol abuse in our systems. Let me tell my colleagues that is important. More teenagers are drinking now. That is gone. Arts in Education. That helps to. if one will. expose our children to art of many kinds. That is gone. Community Technology Centers. Gone. no money for it. Dropout prevention programs. Texas has one of the highest dropout rates among Hispanics and African Americans. I was just at a school this past week. and they said one of their major issues was dropout among middle school students. That is gone. Elementary and secondary school counseling. I recall when we were all concerned about the number of shootings in our schools. and what did we do? Pass a lot of bills dealing with enhancing school counseling opportunities so we would have more school counselors. Gone. Literacy programs for prisoners. Many of our incarcerated persons from our neighborhoods are illiterate. That is gone. State grants for incarcerated youth offenders. Gone. Womens educational equity. Gone. National youth sports. Gone. Empowerment zones. Funding not needed. As I recall. I think I heard even the chairman of the Congressional Black Caucus get up and speak about the value of empowerment zones and what lives have been changed. how lives have been changed and how neighbors have been changed and how valuable they were. Brownfields redevelopment. In my community alone we are still fighting to clean up brownfields. and I see that we have zeroed that out with an explanation. accomplishments not reported. What do they mean. ""not reported?"" We are still working to clean up brownfields. and I can assure the Members what that means to innercity communities. Let me cite Acres Home in my congressional district that has been working and working. the community has been working to get their brownfields cleaned up. and we are still going back in there with the EPA to see what has been done. That is gone. COPS hiring grants. $119 million. gone. They say that it has merged with other programs. I do not know how one can do that. If it is merged. it is gone. and it means there is no money. For those who come from areas where there are migrant and seasonal workers. there were moneys in order to enhance their quality of life. This is our farming industry that needs migrant and seasonal workers. We have eliminated resources that can help them with their better quality of life. Let me conclude with the Microloan program from the Small Business Administration. Gone. Microloan program. Gone. As I show this picture to our friends and colleagues. it seems to me that we have got a Swiss cheese here. a budget with a lot of holes. It seems to me. Mr. Speaker. that what happened is that the priorities were disproportionately weighted toward those who already have. and if they can come up with a budget to the floor of the House or to the Congress and tell us that they have cut arts education and so many other things that impact peoples lives. then I think that it is now time for us to rally and to be able to address needs of the American people. I thank the gentlewoman for allowing me to come. I am going to keep this somewhere visible in my office to know how many people have been hurt by this budget and to suggest that this Congress is obligated to fix the problem on behalf of the American people. I thank the gentlewoman for allowing me to share this list of the havenots. because I think the only way the havenots will gain their rightful place is for us to begin the fight and to be able to write a budget that makes sense on behalf of the American people. I rise today once again begin disappointed with this Administrations efforts to truly represent the values of average Americans and of the African American community. President Bushs latest efforts in the form of his 2005 national budget continues his irresponsible economic policies that have resulted in so many Americans suffering. This Administration has a credibility crisis. President Bush has said his tax cuts would act as a stimulus for our flagging economy and create jobs. this clearly has not happened. Instead of adopting more inclusive policies this President has decided to give even more tax cuts to benefit the wealthy. This Administration has misplaced priorities that are leaving average working Americans and our community in a bind.",2004-02-11,TX,2004
My amendment will increase the end strength of the Army to meet the incredible mission that has been thrust upon them in the wake of the war on terror and the operations In Afghanistan and the operations in Iraq. I believe it Is Incumbent that we formally increase the end strength of the Army and we incorporate within the Army budget the requirements for these additional soldiers. At this juncture. the Army is being increased on an emergency basis through supplemental appropriations. I think that is not the appropriate way to do it. I think we have to recognize that the struggles we are engaged in are long term. they are not temporary. We have to have an end strength within the authorization bill that reflects that longterm effort we are engaged in. I also believe we have to have within the Army budget the baseline established so that if a supplemental is delayed or is not sufficient to cover these additional troops. the Army does not have to go among its own programs and root about and find moneys to pay for these troops. These troops are necessary. It is expedient that we should in fact engage and correct this discrepancy between the missions and the men and women who are serving our Army so well. This is a quick glimpse of our soldiers who are committed throughout the world: 310.000 soldiers in 120 countries. The most significant. of course. are operations in Afghanistan and in Iraq. There are 13.000 in Afghanistan and 126.000 in Iraq. There are soldiers all across the globe and I think we all understand the stresses of these operations are wearing our Army down rapidly. Some of the indications that we have too few troops can be cited very quickly. First. literally a few days ago the Army announced a stoploss policy that would prevent soldiers from leaving the Army 90 days before their unit deploys into Iraq. We are essentially telling volunteers that they cannot leave at the end of their enlistment. That is an obvious indication we have too few troops. Second. we are withdrawing troops from Korea. There might be strategic reasons to pull troops out of Korea. There might be logistical reasons. Technology might be aiding them. But. frankly. this is an indication of. again. the shortage of troops within the Army. because we have huge risks in North Korea. This is a regime that has announced they have nuclear weapons. This is a regime that has been involved in onandoff negotiations with us for a matter of many months to see if we can resolve the situation peacefully. The signal we are sending to the North Koreans. albeit unwittingly. is this is not a major priority. we are actually taking troops away. When troops are taken away. we may still have the ability to deter the North Koreans from attacking South Korea but. frankly. our mission over there is no longer just deterrence. it is disarmament. and that requires diplomacy backed up by force. We hope diplomacy works. but we are weakening our hand. One of the most interesting and insightful indications of the shortage of troops is we are actually beginning to take apart the training infrastructure of the U.S. Army. Recently it was announced that troops from our training centers. the 11th Army Cavalry Regiment. which serves as the op force. the enemy force. in training our units. is being notified for deployment overseas. In addition to that. the 1st Battalion of the 509th Infantry. which acts as the opposition force to train our troops at Fort Polk. LA. is also on notice. What can be more demonstrative of the shortage of troops than the fact we are. in a sense. dismantling our training structure? That in the long term is going to do great harm to the service. We need more troops. I am sure those who are opposed to the amendment will say we have authorized in this bill again access to emergency authorization and supplemental funding. but that is not doing it the right way. doing it up front. doing it in a straightforward manner. increasing end strength statutorily. and putting this into the regular budget process. I hope tomorrow we can debate this bill. I am unaware of the seconddegree amendment. I will get with the chairman to see what his language is. I feel very strongly that this is the way to do it. and I am joined in that by my colleagues Senators MCCAIN. HAGEL. CORZINE. AKAKA. BIDEN. and many others who feel very strongly this is the way to do it and it should be done. I hope it will be done tomorrow. With the expectation and the understanding that we will have at least an hour tomorrow on my side to engage in debate on this issue. at this point I yield the floor.,2004-06-15,RI,2004
Mr. President. we are now on the resolution and the two managers are gathering now to start that debate. In the interim period. I wish to make another comment that has to do with a truly historic occurrence in Iraq. Today is a historic day for the Iraqi people. Today. the Iraq Governing Council will formally sign an interim constitution that represents one of the most liberal and democratic governing documents in the Arab world. It is a historic day for the entire Arab world. The new Iraqi Constitution is a monumental achievement. I applaud the courage and the foresight of Iraqs leaders to seize this historic opportunity before them and to work together to forge a framework for freedom that reflects the aspirations and Godgiven rights of every single Iraqi citizen. After 35 years of torment and oppression by an evil and dictatorial regime. Iraq is finally emerging from the shadows and becoming a democratic nation by and for the people. Remember. the people of Iraq just 1 year ago were ruled by a tyrant who worshipped Hitler and Stalin. two of the 20th centurys most prolific mass murderersjust a year ago. Iraq is emerging from a terrible history. and the Iraqi people deserve our highest praise for their ability to set aside recriminations and to set aside old ethnic conflicts. to confront their fears and overcome mistrust in order to embrace the future. It is my sincere hope that others in the region and around the world will take heart at Iraqs extraordinary progress and that this fledgling nation will one day soon become a beacon of freedom for all. The new interim constitution is rightly a document of principles. It guarantees freedom of expression. freedom of assembly. privacy. thought. conscience. religious belief. and due process. It protects women. ethnic and religious minorities. and strives to balance regional and national imperatives. No longer will the Iraqi people have to fear secret police. government abductions. torture. or arbitrary imprisonment. No more mass graves. no more child prisons. no more forced confessions or mass executions. I have great hopes for Iraq. Like President Bush. I believe all people are capable and deserving of a democratic government. That is because I believe. like President Bush. freedom is an inherent right. not a privilege to be dispensed by pundits or politicians. Securing freedom in Iraq. as we all know. will be hard. The continuing vicious bombings against innocent Iraqis demonstrate that we are up against determined and evil forces. My heart goes out to those victims and to those families. We know from our own 9/11 how truly devastating these acts of evil are to the immediate victims and to the nation that is forced to watch. helpless. in horror. But I have faith that the Iraqi people will persevere. We will not allow our enemies to divide us. We will stand together as two free nations. We will defeat the forces of terror and the Iraqi people will live in peace and freedom.,2004-03-08,TN,2004
Mr. Speaker. let us take a look at a different layer. because the gentleman and I know that when we are in Iraq. we do not get to go to all of the places we would like to go. I mean. when I have been in Baghdad. it is kind of like there is a lot of commerce. there is a lot of cars. the roads are busy. there is lots of people. and you want to just grab your driver and say stop. let me out. and let me spend the next half hour. hour just walking down the streets and talking to the people of Iraq. because I want to find out whether you are giving me the straight scoop. I think I am getting good input from the Iraqis. but are you selectively feeding me people that will only come with a smile on their face and those kinds of things. The gentleman and I have both had the opportunity to talk to another layer of people who have interacted with the Iraqi people. and that is the American and coalition troops. When I was there last time. I had the opportunity to have dinner with 10 soldiers from Michigan. and my colleagues had dinner with 10 to 15 troops from their States. So we are talking to 75. 80 troops. And then I also had the opportunity to talk to parents or spouses whose husbands or wives are over in Iraq. and the American troops and the coalition troops. they are the ones. the ones that I met with. They are the ones that are patrolling the streets of Baghdad. Baghdad is divided Into sectors. and the group that I had dinner with. they are patrolling four segments. So you ask them and say. What are the Iraqi people saying to you? And our troops. although I have not spoken to all of them. so I cannot say all of the troops. but the ones that I have spoken to have no doubt that we are there for the right reasons. The gentleman from Indiana is right. they are not worried about whether we found weapons of mass destruction. Again. they have heard the stories of the torture. the killings. the brutality they have seen. how Saddam took care of himself and did not take care of his own people. They know all of this stuff. And they will tell us we are there for the right reasons. The Iraqi people are thrilled that we are there. The Iraqi people are frustrated that some of the rebuilding is not going as quickly as they would like it. that the security is not where they would like it. it is not where we would like it. But at the end of the day. they are glad we are here. they are glad Saddam is gone. and they are going to help us rebuild. They will tell us great stories about interacting. handing out books. rebuilding schools. digging wells. cleaning up irrigation trenches. getting the power going. and doing all of these things to help the Iraqis on a personal level. I think the gentleman from Indiana had an opportunity to meet with some of the troops. and I yield to my colleague.,2004-03-11,MI,2004
Mr. Chairman. I want to thank the chairman for yielding me time and for his leadership on bringing this very important legislation to the floor. This legislation supports our American men and women in uniform and it helps give them the tools to defend the freedoms that we all hold so dear and to keep our country safe. Specifically. I want to thank the chairman for his wisdom in investing $830 million approximately in Humvee production. Humvees are manufactured in my district in Mishawaka. Indiana. by AM General. The men and women at AM General certainly do a tremendous job in manufacturing this very effective tool in the war on terror. And the investment in this production is certainly good for the 2.500 employees at AM General. it is good for our local economy. but most importantly. it provides a force protection tool for our soldiers that saves American lives. As an example. about a year ago I went to Bethesda Naval Hospital and I met with a young Marine who had been injured in combat in Iraq. He told the story of the Navy corpsman. after he was hit. that dragged him to safety between two Humvees that were strategically placed in the battlefield. Just 2 weeks ago I met another Marine that had lost his right arm in combat in Iraq. I flew to my district with the President. and as the President stepped off the plane. the Marine shook his hand and told him the story about how he owed his life to the fact that he was in an uparmored Humvee when he was injured. It is because of thousands of stories like this that I urge my colleagues to support H.R. 4200. because it does exactly what it should do. It provides our troops with the tools they need to win the war on terror and supports them in their efforts so they can be successful.,2004-05-19,IN,2004
Mr. Speaker. we are going to continue the conversation here and switch gears here just a little bit with the gentleman from Massachusetts and continue the Iraq Watch and talk a little bit about the foreign policy issues that have been facing this Congress and facing the country for a few years now and trying to figure out a way in which we can try to correct this problem that we have gotten ourselves in. Let me just first say that the whole Congress. Republican and Democrat Parties. Independents. House and Senate. President. we are all very much in support of the troops who are out on the front lines. their families who are making tremendous sacrifices that many of us will never ever know. I have had the opportunity to be up to Walter Reed and visit some of these injured soldiers. and there is nothing more heartbreaking than to see a 19-. a 20yearold kid who has lost his or her legs. an arm. and just think about all their hopes and dreams that have. in many ways. been washed away. So we are taking this opportunity here as Democrats to talk a little bit about how we got into this position. and I want to start on an issue that I feel extremely passionate about. When this all started after 9/11. the United States of America and an international coalition moved forward in Afghanistan. and we moved forward in Afghanistan because they were housing the Taliban and they were housing or harboring Osama bin Laden. who was the main perpetrator of 9/11 on the United States of America. So many of us are confused. myself included. why we went into Iraq in the first place. The reason is that we have only so many resources in the United States of America. and we attacked and invaded with an international coalition into Afghanistan. We ousted the Taliban government that was harboring al Qaeda and harboring Osama bin Laden. and we sent Osama running into the Tora Bora region on the AfghanPakistan border. We had this international coalition. and we were going into Afghanistan and we were going to rebuild this country. and we were going to make it a thriving democracy. We were going to have a democracy in that region. There is a great article in the Atlantic magazine this week. for those of you who are at home who want to read it and get the complete analysis and the timeline of how this happened. Then at one point. all of a sudden. all of the generals and all of the military planners in the United States of America began to shift their attention from Afghanistan to Iraq. and they took in troops. We now have 130.000 troops in Iraq. In Afghanistan. we only have 17or 18.000. The Special Forces were moved as well. and then even as it states in this article. the satellites that were focused on Afghanistan. that were trying to provide intelligence. were also moved. and they were shifted to Iraq. So how symbolic that we shifted our focus to Iraq and took away from what was going on in Afghanistan. Slowly but surely. Afghanistan began to unravel. We ended up with a fullblown war in Iraq. and here we are. many. many months away from that. stuck in a quagmire in Iraq that many of us have no idea how we are going to get out of. I am glad to see that Senator KERRY has issued a plan on how we are going to get out of there. We have to bring in an international coalition. That is the only way to do this. If we do not get troops in and support and money from the international community. the only thing left is to have a draft in the United States of America. If you ask the American people. would you rather have a draft or try to unite the international community. I think most Americans would say let us get the international community united to put troops into Iraq. but this current President cannot do that. Mr. Speaker. I yield to the gentleman from Massachusetts . who has been a real leader on this issue and more articulate than anyone else in this Congress on the problems and challenges in Iraq.,2004-09-22,OH,2004
"Mr. President. I rise today to inform the Senate of an undertaking that has. in my view. not received adequate attention in the press or by the American public. This undertaking has required tremendous planning. and has been on a massive scale. As the news from Iraq dominates our attention. an important and notable success story has gone largely unnoticed. I refer to the massive troop rotation in the Iraq theater that is now nearing completion by our Armed Forces. This is the largest U.S. troop rotation since World War Imore than 250.000 U.S. service members have been involved. Planning for this rotation of forces in Iraq has been underway for many months. The meticulous quality of that planning. the absolute attention to detail by thousands of military planners. logisticians. and transportation specialists has resulted in a near flawless rotation of forces. Consider for a moment the sheer size of the logistics effort involved in rotation over a quarter million combat troops. in mobilizing them. in transporting them by sea or air. supplying them. and in simply keeping them sheltered and fed. And now. consider doing all of that in a place that is nearly half a world away. and at the same time. continuing the pace of military operations and combat in Iraq. without skipping a beat. New units began flowing into the region in December of last year. and to date. over 95 percent of the service members deploying to Iraq have arrived in the region. I would like the Senate to consider some of the facts and figures for the deployment and redeployment. or return. of forces in that area. Over 900.000 short tons of equipment and supplies have been shipped to support operation Iraqi Freedom. Over fiftyseven sealift ships have sailed. delivering more than 426.000 short tons into theater. and 13 ships have returned 88.000 short tons back stateside. Nearly 3.000 airlift missions have been completed. and over 63.000 flight hours. Ninetyseven thousand soldiers scheduled for redeployment have returned home from Iraq. Over 91.000 reserve component soldiers were mobilized for Operation Iraqi Freedom 1. and over 54.000 for Operation Iraqi Freedom 2. Last month I was privileged to travel to the Central Command Theater to see first hand the magnitude of this effort. I traveled with my good friends the chairman of the Armed Services Committee. and JOHN WARNER. and the senior Senator from South Carolina. FRITZ HOLLINGS. We saw our forces in Baghdad and in Balad. Iraq and traveled into Afghanistan to visit our forces there. I simply cannot say how absolutely impressed we were with the fighting spirit and combat power displayed by these young Americans. We spent some time with the 1st Armored Division in Baghdad. and MG Martin Dempseys absolutely impressive forces. General Dempseys forces are providing stability and security in a dangerous part of Baghdad. They know they have an important mission. You could see the dedication and courage in each of their faces. They know why they are there. We also spent some time with Joint Task Force 180. in Baghram. Afghanistan. MG Lloyd Austin. a really impressive commander of the 10th Mountain Division. His soldiers are pursuing Taliban and alQaida remnants in the mountains of Afghanistan. His forces. too. are remarkably bright and dedicated young men and women. Spending time with them was inspiring to us all. We had planned to visit the 1st Battalion of the 501st Parachute Infantry Regiment from Alaska. They are deployed to Khost. Aghnanistan. in the rough mountains near the Pakistan border. Unfortunately. an aircraft malfunction required that we change planes. and that delay meant we were unable to make that stop to see those Alaskan forces. We are terribly proud of them and all of the forces there around the country in that area. My friends and I also went to Kuwait and saw forces moving into and out of Iraq. Kuwait is where much of the logistics operation for the troop rotation is based. The level of this effort is nothing short of remarkable to see. In Kuwait. we visited with troops from the 4th Infantry Division. the division that captured Saddam Hussein. as they were moving home and preparing their gear for return. We visited with these troops at the ""wash rack"" where each vehicle is cleaned from top to bottom before returning home so there is no contamination from the wartime area. It takes nearly 8 hours to fully clean a vehicle of all the dirt. sand and wear that accumulate. Dozens of these wash racks were operating day and night. 24/7. until every last piece of gear is cleaned and ready to return home. Many of the divisions vehicles were staged and lined up. ready to return home. That was truly a sight to seerows of rows and rows of all types of military vehicles. scores of vehicles. I saw the remarkable size and scope of our logistics effort to rotate these forces in Iraq. and the magnitude of that effort is simply amazing. General Robert Barrow. a former commandant of the Marine Corps. in 1980 said: ""Amateurs talk about tactics. but professionals study logistics."" That statement has again been proven true by the nearly flawless rotation of U.S. forces in and out of Iraq. That rotation is now nearly complete. and it is a remarkable achievement. This massive movement of forces and equipment. the largest since World War II. has largely gone unreported and little noticed by the American people. However. it is a true success story and one that needs to be told. and needs to be told on the floor of the Senate. This rotation of forces is an absolute testament to the will. dedication and commitment of our men and women in uniform. They are to be commended for what they do for all Americans. and once again. they have made us proud.",2004-04-21,AK,2004
