speech,date,state,year
"Mr. Speaker. ""Together We Can Do Better."" That is the new motto of the Democrat Party. Well. you can judge the future by their past. and let us see how they did in the past. Social Security. take an issue. What was their solution? Still waiting. No solution. Hello Democrat Party. put it on the board. You did not like our solution? What is your better solution? Taxes? You do not like tax cuts. The government knows how to spend your money better than you do. And when tax revenues went up $94 billion because of our tax cuts creating new jobs. what did the Democrats have to say? We just do not like tax cuts. Fiscal responsibility. Now they have a chance. We know In the Committee on Appropriations they have offered $61 billion in spending increases in the last 3 years. Now is their chance to show ""we did not mean it."" They can do better. 9/11. what was their response? Whining and pining and handwringing. saying. Why do they hate us? That is what we must find out. Iraq. well. let us turn Iraq over to Cindy Sheehan. She should run our foreign policy. Together we can do better? I think they ought to look at ""together we can be bitter. bitter and angry.""",2005-10-26,GA,2005
Mr. President. last week I had the privilege of meeting privately with numerous soldiers from the 2nd Brigade Combat Team of the 2nd Infantry Division. which is stationed at Fort Carson. CO. These soldiers had just returned from their first tour in Iraq where they helped maintain the peace near the former terrorist hotbed of Fallujah. I spent over an hour talking with them about their experiences. asking them about their challenges. and hearing their thoughts about whether we should stay the course in Iraq. These soldiers spent the last year fighting the Iraqi terrorists. in some cases housetohouse. They helped train several Iraqi security units and participated in numerous reconstruction projects throughout central Iraq. Sadly. they lost 68 of their own while in Iraq. Yet. while they deeply mourn the loss of their comrades. they have no regrets about their time in Iraq. Indeed. if there was one thing I took away from my meeting with the soldiers of the 2nd Brigade Combat Team. it was that each and every one of these soldiers was proud of their accomplishments in Iraq. They completed their mission well and helped thousands of Iraqis better understand the value of freedom and prosperity. And why shouldnt these soldiers be proud of what they achieved? The progress we have made in Iraq is breathtaking. and these soldiers have been a part of it. Those who believe that the war in Iraq has become a quagmire certainly havent been paying attention. The Presidents strategy is working and we are making progress. The reconstruction accomplishments in Iraq are staggering: Over 3.000 schools have been renovated and refurbished. 133.000 primary school teachersa third of Iraqs educatorshave received additional training and technical assistance primary school enrollment is up 19 percent from prewar levels. nearly 250 health care centers have been renovated and another 563 have received new equipment. over 2.500 primary health care workers have received training to better meet the Iraqs health care needs. in 2005 alone. 98 percent of Iraqi children between 1 and 5 years old have been immunized against measles. mumps. and rubella: more than 3 million Iraqis now have clean water. which was not adequately supplied before the war. more than 4.5 million Iraqis benefit from sewage disposal projects the United States has funded. sewage in many areas of Iraq used to literally run down the streets. 30.000 new businesses have registered with the Iraqi government in the past year alone. Iraqis are buying televisions. air conditioners. microwave ovens. and cell phonesall goods that were nearly impossible to buy unless you were one of Saddams cronies. the generation of electricity is significantly higher than prewar level. though this area remains a challenge because of the powerconsuming goods the Iraqis are buying. The training of Iraqi security forces is continuing at a brisk pace. Over 200.000 soldiers and policemen have been trained so far. As the soldiers from the 2nd Brigade Combat Team at Fort Carson will tell you. some Iraqi units are highly competent and very capable. Other Iraqi units have a long way to go. Yet progress is being made. Just in the last 2 weeks. Iraqi security forces conducted nearly 100 companylevel combat operations on their own without U.S. assistance. On the political front. the progress in Iraq has been nothing short of amazing. As President Bush pointed out in his speech 2 days ago. Iraq was in the iron grip of a cruel dictator who murdered his own people. attacked his neighbors. and continued his decadelong defiance of the United Nations just 21/2 years ago. Since then. the Iraqi people have assumed sovereignty of their own country. held free elections. put together a new constitution. and approved that constitution in a nationwide referendum. Tomorrow. Iraqis will again return to the voters booth for the third time in the last year. They will be choosing a new government under a new constitution. and they will be choosing democracy over tyranny. Hundreds of political parties representing every element of Iraqi society. including Sunni. Shiltes. and Kurds. are participating in this highly competitive. completely unprecedented electoral race. Despite the constant danger of terror attacks. Iraq is buzzing in a campaignlike atmosphere. Baghdad. Najaf. and Mosul are full of signs and posters. Television and radio are filled with political ads and commentary. Political rallies for candidates are being held around the country. Nothing the terrorists can do or say has stopped this march toward freedom and democracy. Like Shiites and Kurds. Sunni politicians are now coming under attack by the Iraqi terrorists. But the Sunnis now know that terror will never overcome the political momentum that has been gaining speed in Iraq. They know that an agenda of fear and tyranny will only lead to more death and destruction. They see that the future of Iraq lies not in the hateful ideology of extremism but in freedom. prosperity. and hope. As the Denver Post in their editiorial today. tomorrow marks an important milestone towards selfgovernment for the Iraqi people. The elections in Iraq are a sign of tremendous political progress. but they are not the only sign. The development of the rule of law and building of new political institutions is just as importantif not more so. The United States is helping build an independent. impartial judiciary system capable of protecting all Iraqis and is helping Iraqi lawmakers develop a body of law that will sustain Iraq through the challenges of the future. In particular. the trial of Saddam Hussein has shown all Iraqis that even the most despicable criminals deserve due process and an opportunity to prove their innocence under the law. Some have questioned whether the war in Iraq is really a part of the war against terror. The terrorists have made it abundantly clear that Iraq is central in their war against the civilized world. They have also made it clear that they will not stop with Iraq. they will strike Iraqs neighbors as they did last month in Jordan: they will strike Europe as they did in the Madrid bombings. and they will not hesitate to strike America again as they did on The soldiers of the 2nd Brigade Combat Team of the 2nd Infantry at Fort Carson understand the stakes of the war in Iraq. They know that if we run away. all of their work will go for naught. They know that if we give up. the lives of millions of Iraqis will be put at risk. And they know that if we surrender. the fight the terrorists will be emboldened to hit us where it hurts the mosthere in the United States. I applaud the soldiers of the 2nd Brigade Combat Team for their service to our Nation and to the people of Iraq. They have every right to be proud of their achievements. as does every U.S. soldier. sailor. airman. and marine who has helped bring freedom to Iraq. We owe the men and women in our Armed Forces a debt of gratitudetheir courage and bravery has inspired me and should inspire every American. Mr. President. I appreciate the opportunity to discuss this important issue. I yield the floor and suggest the absence of a Quorum.,2005-12-14,CO,2005
Mr. Speaker. these charts were compiled by the gentleman from Illinois . and basically what he is trying to show here is that we have a robust program of rebuilding and restoration ongoing in Iraq to the extent they can maintain anything there in the midst of that insurgency. For example. in terms of infrastructure. we have rehabilitated the Sweetwater Canal System. including repairs to the levees on the Tigris and Euphrates. On the other hand. we have cut $336 million from the Army Corps of Engineers. including funding for the levees on the Mississippi. We have rebuilt the Iraqi republican railway line. But in the United States there have been $2.5 billion in cuts in Amtrak. and the highspeed rail funding program has been eliminated. Community development. 3.120 community action projects completed in Iraq. $320 million cut from community services block grants in the United States. $470 million for the construction of housing and public buildings and civic centers for Iraqi citizens. in this country $250 million has been cut from community development block grants. and the Presidents budget cuts for public housing. the capital fund. have been cut by 10 percent even though it is now already deficient to meet the needs of the program. This chart shows the same thing. In Iraq. 110 primary health care centers built or renovated. In this country $10 billion has been cut or is being proposed to being cut from Medicaid. I could go down the list. but the example is stark. We are not saying this should not be done in Iraq. We have got to help get that country back on its feet. and the sooner we can get out. the better. But in the meantime. we need to stabilize the country. and this is part of it. part of the economic reconstruction. But it stands in stark contrast to what we are willing to do in this country for infrastructure that we all acknowledge we need and see we need in a case like New Orleans when the levees break.,2005-10-19,SC,2005
Mr. President. Senator DURBINs amendment touches on a critical issue: the strains being placed upon the National Guard and the Reserve by the long deployments to Iraq and Afghanistan. He correctly points out that these deployments have resulted in a financial crisis for unknown numbers of American families who have loved ones called to duty. pulled out of their civilian careers. and sent half a world away for long periods of time. The amendment pending before the Senate would compensate those members of the National Guard and the Reserve who suffer a loss of income because they are away from their civilian jobsbut only if those jobs are with the Federal Government. The many Guardsmen and Reservists who work in the private sector would not be helped by the amendment. I am very sympathetic to the plight of the families of National Guardsmen and Reservists who have found themselves in dire financial straits because of a long. unexpected deployment that takes the family breadwinner away from his job. I have heard from families in West Virginia who could be facing financial ruin because of a soldiers drop in income due to a protracted. 18month deployment. However. the Congress is approaching this problem from the wrong end. The heart of this matter is not how much Uncle Sam may pay our citizensoldiers. The problem is that our National Guard and Reserve are being deployed. and redeployed. for such long periods at a time. The United States hasnt sent so many parttime soldiers overseas in half a century. In addition to causing financial hardships for many American families. the pace of these deployments is threatening to break the back of the National Guard and the Reserve. In 2003. I offered two amendments to limit the deployment and redeployment of the National Guard and Reserve. Unfortunately. the Senate voted down those amendments. and the strains on the National Guard and the Reserve continue and. in some cases. are worsening. Until Congress limits the excessive deployments of our citizensoldiers. or until our troops start coming home from Iraq. there will continue to be myriad strains on our troops and their families. It is not reasonable to expect the government to compensate our troops and families for each difficulty or strain that this foolish war in Iraq has caused. because our national treasure is finite. Whats more. I am concerned that the amendment on which the Senate will soon vote will have financial consequences for many years down the road. Our country is neck deep in red ink. and Congress must be judicious in enacting benefits that grow to have a life of their own well after the Senate has voted. This problem is compounded by the refusal of the President to budget for the costs of the wars In Iraq and Afghanistan. If the White House does not budget for the war. there is no way to increase revenues or lower other spending in order to balance the budget. In the coming days of debate on this emergency supplemental appropriations bill. I will offer an amendment on this crucial point. Despite these reservations about the pending amendment. the bottom line is that the families of many National Guardsmen and Reservists are experiencing real financial hardships. Although this amendment will only take care of some of those families. it will provide a lifeline to families who are struggling to make ends meet because of the demands of the war in Iraq. I commend the Senator from Illinois for his commitment to the National Guard. and I will support him on this amendment. However. when the Senate next considers relieving the strains caused by the long deployments of the Guard and Reserve. the Senate should not adopt a piecemeal approach. The heart of the matter is our openended mission in Iraq. Unless that matter is addressed headon. Congress will continue to find more and more ways to spend our nations scarce treasure. That is not a wise fiscal course.,2005-04-13,WV,2005
"Mr. President. I thank the distinguished Senator from Georgia. We are studying this amendment very carefully. I am anxious to get the views of my distinguished colleague. the ranking member. and his group. As I listened carefully to the Senators remarks. I was reminded by my own experienceI had a very modest career in the militaryI think I spent a total of 14 years in the Marine Corps Reserve and witnessed and participated in a callup of the Reserves in connection with the war in Korea. I recall very vividly that war hit us out of the blue in the summer of 1950. The thenSecretary of Defense. Louis Johnson. under President Truman. was cutting and slashing the military right and left. It was down to the raw bone. Suddenly this war engulfed the United States and there were thoughts in the beginning that it would be fairly simple to end the war. I remember MacArthur was commander in chief of the forces at that time. and he made a famous statementI think it was in late September or Octoberthat this war will be over and everybody will be home by Christmas. Well. that was the fall of 1950. and action did not end until 1953. which had many names from the ""forgotten war"" to a ""police action."" but it did cause over 50.000 casualties. The point I wish to make is I witnessed with my own eyes the Reserves being brought in. I was with a group that was called up on 30 days notice. Most of them had been in World War II. I had brief service at the end of World War II in the Navy. We were all basically former World War II veterans and just beginning to reestablish ourselves. It was only an interval of about 4 years since most had been released then in 1946 and. whammo. in 30 days we were in it. At first I remember in the training detachments down in Quantico there was a decided feeling among the old regulars of the Marine Corps that we were secondclass citizens. but once our folks hit the battlefield. whether it was on the ground or in the airI was assigned to an air unit as a ground officerReserve pilots flew right along with the regular pilots. and one could not tell the difference. They pulled equal missions together. took equal risks. I do not know how the casualties bear out. but I know a lotnot a lot. but a number of our Reserve squadron lost their lives. wounded. So I say to the Senator. as I listened. I thought back of those days and how in the ensuing years that was the first time in the Korean War that we really involved the number of Reserves that were needed. and our regular forces then. not unlike now. had been pared down in numbers. As a consequence. today I believe 60 percent of the persons serving in Iraq are Reserves at this very moment. I use the term ""reserves"" to apply to the Guard as well. So they are full partners. Then. fast forwarding. I remember serving in the Pentagon during Vietnam. and we decided to have. under the leadership of an extraordinary Secretary of Defense. Melvin Laird. the concept of a total force: in other words. whether one is Guard. Reserve. or regular. they are a total force. The total force concept moved on through the years. I think the Senator is right on target. If the Senator will bear with us a little bit. we are trying to determine exactly how we are going to treat this amendment. At the moment I am very impressed with the Senators objective. I ask forgiveness for taking the time of the Senate to dwell on what I actually saw years ago and have seen. as the Senator has. on our visits to Iraq. one cannot distinguish between the Guard and the Reserves. They are all amalgamated into the regulars. Actually. many Guard and Reserve units are functioning as units. somewhat augmented. I suppose. with some regular officers. and vice versa some of the regular units are augmented with the Reserve and Guard officers. But it certainly is a total force and a magnificent force we have serving today. The Senator is right. all of these trends with regard to personnel. they begin toit is like the awakening of the dawn. The sun does not break through. and one begins to wonder what about this cloud cover. and there is some cloud cover associated with the recent statistics regarding the introduction of new Guard and Reserve persons. I will say I think the retention has been pretty good in many areas of our Guard and Reserves. but nevertheless we need an inducement. I think this amendment has the beginnings of something that is very important. The Senator is a valued member of our committee. The Senator fought hard for this one. Give us a little time to work it around.",2005-11-07,VA,2005
Mr. Speaker. my good colleague from Mississippi has spoken of our great Guardsmen and Reservists a number of times in his very eloquent statement and talked about their deployment. their imminent deployment. or the deployment they are involved in right now or the one they are returning from in Afghanistan. Iraq. or other places around the world. We. in fact. do provide TRICARE. It is medical care for every one of them and every one of their dependents. for 90 days before mobilization and 180 days after mobilization. So this body. starting with the Committee on Armed Services and then the full House. moving and working with the Senate and with the President. have done that. Now. let me just tell you. there is a major problem from my perspective and I have looked at this during the last session and you have a major. major problem. because all of these people have jobs. they have employers who are carrying health care in the private sector right now. If you give an opportunity to employers. to the private sector. to terminate the health care that they are providing right now to their employees. once they understand that the government will pick up that health care pursuant to that status in the Guard. across the board. you are going to see that 18 percent of Guardsmen who right now do not have that health care. you are going to see that number go way up in the private sector and you are going to see. very simply. a large displacement of that burden from the private sector on to the DOD budget. That gets to another responsibility that everyone here has. We have a responsibility to replace those 18yearold helicopters. We have a responsibility to replace those jet aircraft that average now in the Navy about 171/2 years old. We have a responsibility to replace those tanks. those trucks. those ships. If we take that $5.8 billion that this will amount to over 5 years. much of which will be the shifting of this burden from the private sector to DOD. we may think we have served that Guardsman very well in one way. but we will disserve him in another way because he will not have the best equipment. Let me get to the issue at hand. We have a $500 billion bill which provides the tools to get the job done in this war against terror. The war really started when Todd Beamer. when that United flight was over Pennsylvania and he took on the terrorists and the last words we heard from him were. Lets roll. Lets roll echoed across the mountains of Afghanistan. through those dark canyons and those caves. across the sands of Iraq: and right now it is being carried in units like the 10th Mountain Division. the First Marine Division out to the western AO in Iraq. the First Armored Division in Baghdad. and all those great Guardsmen and Reservists who are fighting in this war against terror. We have provided in this bill the tools to get the job done. Let us pass this bill. Lets roll.,2005-05-25,CA,2005
Mr. Speaker. I congratulate the Iraqi people on a successful election. and movement toward democracy. I rise today to denounce the Republican leadership for manipulating the War in Iraq for political gain. However. I want to stand up here and reiterate my opposition to the invasion of Iraq. I have said it before and I will say it again. I am against this war. Our troops have become the targets of the insurgents in Iraq who want us out of their country. I knew that once we got into the war. there was no getting out. Many of our young men and women were going to get killed for the personal gain of the President. There is no correlation between 911 and the War in Iraq. Let me repeat: There is no correlation between 911 and the war in Iraq! There was no faulty intelligence. We have people in key positions lying to the American people. Get Us Out of Iraq!,2005-12-16,FL,2005
"Mr. President. last night we had the occasion on the House floor to hear a speech from the Commander in Chief. the President of the United States of Americaa speech that to me was about two overriding themesone. freedom. and the other. securityand two primary subjectsone. the war in Iraq and its liberation. and the other. the security of the American people and their retirement. To the first. I simply say. as eloquent as the Presidents speech was. as dramatic as his words were. and as many of them as there were. the most powerful message last night was not words. but a picture. For when Janet Norwood embraced Sofia. the President stopped speaking. the Chamber erupted. tears flowed. but not a word was said. If the saying ""a picture is worth a thousand words"" was ever appropriate. it was on that occasion. 151. Pt. 2 1473 I am very proud of our men and women in the Armed Forces. I am proud of this Congress. I am proud of this President. and I am proud of the people of Iraq and Afghanistan. and all freedomloving people. The second subject the President addressed was Social Security. which is all about freedom and security. and it is the subject about which I will make my few remarks on this morning. I would like to begin these remarks by asking you to visualize another picture. Think about how powerful Sofia and Janet were. and think about this picture. Picture the year 2042 or 2052. if you like. Picture you in your living room or your den. Picture you looking at your son or your daughter and their grandchildren squarely in the eye. and picture explaining to them that when you had the chance 37 years earlier. you did nothing to secure their future. There are those who say Social Security does not have a crisis today. but it has a big crisis tomorrow. When I entered into my campaign for the Senate. I ended every speech by saying ""I will soon be 60""-and I am 60 now-""and the rest of my life is about my children and my grandchildren."" So it is true about all of us in this room. To do nothing is unacceptable If you visualize that picture 37 years from now. if you look at your daughter or your son or their grandchildren. I want to talk about Elizabeth Sutton Isakson and Jack Hardy Isakson. both born last year. both of whom will be 37 in 2042 when I would have to give them the ""good"" newsif this Congress did nothingthat Americas promise on Social Security is gone. that by law their benefits are lowered and. by absolute practice. their taxes will be raised. I heard someone in opposition to reform last night criticize the President for saying it is their money. They said it is not their money. They said. ""It is my mothers money."" That is what is wrong with the system. We have robbed Peter to pay Paul. We are running out of Peters. and we are getting a greater number of Pauls. Now. personal accounts and a nest egg in the future are a viable decision that should not be criticized and rejected out of hand. In fact. I will tell you an interesting little fact. Had the United States of America 70 years ago invested the surpluses of the payroll tax paid by the American workers throughout that time. we would not have the problem today. But we robbed Peter to pay Paul. There are those who say personal accounts are a gamble. Arithmetic is a fact. and facts are stubborn. In the 70year period since the advent of Social Security. pick any 20 consecutive years that you like and pick any traditional conservative investment model that you like. and in that 20year period of time. it exceeded the return on Social Security four to five times.",2005-02-03,GA,2005
"Mr. Speaker. I had the great opportunity to visit Iraq on two occasions: in December of 2003. five days after the capture of Saddam Hussein. and then again in February of this year with my colleagues on the Committee on Rules. I want to say what I noticed in Iraq. in the theater of operation. was I met soldiers soldiers and I met commanders commanders. and I want to say. too. that the gentleman from California . the chairman of our Committee on Armed Services. is a chairmans chairman. It was said earlier by other speakers the sacrifice he made himself while serving in Vietnam. and his sons now serving in Iraq. This is the kind of support that we need to show and let those young soldiers who are over there right now. maybe some of them are having a needed break. an opportunity to get out of harms way and possibly watching the deliberations that are occurring right here this evening as we praise them and give them our support. In the previous 5minute litany that we heard from the other side. I think it was just the opposite. It was a little sad to hear them read names and then condemn the Commander in Chief. to condemn the cause. And. Mr. Speaker. I would like to throw out a couple of names of young soldiers that gave their life in Iraq. I could mention Specialist Justin Johnson from Armuchee. Georgia. just 2 years out of high school. His dad. Joe Johnson. actually is in the Reserves now serving. activated. asked to be activated. and yet he gave his son in the ultimate sacrifice. First Lieutenant Tyler Brown. president of the student body at my alma mater. Georgia Tech. had an opportunity to be in Arlington in the Honor Guard. But. no. instead he chose. he asked. to go to serve in Iraq. and. 2 weeks after he arrived there. was killed by a sniper. President of the student body at Georgia Tech just 4 years ago. I think of his family. I think of his mom and his dad and his brother and his sister. I think of Command Sergeant Major Eric Cooke. who at age 43. after 19 years of service and four combat tours of duty. 1 day after I met him that first time in December of 2003 that I went to Iraq. on Christmas Eve. he gave his life by sitting in that seat in a Humvee so that one of his soldiers could get some needed rest. That is the kind of men and women that I want to honor and remember here tonight as we talk about these great patriots that are serving us so well. Mr. Speaker. I think it is all about one thing that we can remember. Those of us who are not veterans. those of us who are veterans. no matter what war we are talking about. and this country has been through a few in the 235 years of our history. the soldiers. particularly those who have given their lives in combat. they do not want us to forget. They do not want us to forget. That is all they ask of us. And I am often reminded of that poem that was written by a Canadian physician serving with the Allies in World War I in Flanders. Belgium. when his buddy gave his life in combat. He wrote a poem. a tribute to him. and that is the great poem that we all know called ""In Flanders Fields."" I will try to recite it. Mr. Speaker. I might not do a very good job. but it goes something like this: In Flanders Fields the poppies blow Between the crosses row on row. That mark our place. and in the sky The larks. still bravely singing. fly Scarce heard amid the guns below. We are the dead. Short days ago We lived. felt dawn. saw sunset glow. We loved and were loved. and now we lie In Flanders Fields. Take up our quarrel with the foe. To you from failing hands we throw The torch. be yours to hold it high. For if ye break faith with us who die We shall not sleep. though poppies grow In Flanders Fields. That little poem that Dr. McCrae wrote in World War I. of course. is a very famous poem today. and it just says one thing. Mr. Speaker. It says. do not forget us. We died for our country. No matter what the cause. even if you do not agree with it. as we hear from the other side tonight and other times on this floor. we have got to remember the sacrifice. otherwise these 2.000 soldiers who have given their lives. and four times that many who have been injured. will indeed have died in vain. We will have forgotten them. We will not have taken up that torch that they are passing to us and they are asking us to hold it high. That is our obligation. We do not necessarily have to be veterans. combat veterans. like the gentleman from California (Chairman HUNTER) or the gentleman from Kentucky or the many men and women. too. And I think of the gentlewoman from New Mexico and others who have served in this country. We are all serving. And I do not question the patriotism of the people on the other side until I hear them talking about the Commander in Chief and saying that he lied to the American people and that we did not need to be there. that we struck first. How quickly. Mr. Speaker. how quickly they forget 9/11. God bless our troops. God bless the gentleman from California (Chairman HUNTER). We are behind them 100 percent. and we are winning. and we will continue to win and bring these soldiers home safe with a victory in hand.",2005-10-26,GA,2005
"Mr. Speaker. yesterday Saddam Hussein faced a panel of Iraqi judges where he will finally stand trial for the crimes against humanity that were committed under his regime. Saddam Hussein is an evil person. He ordered thousands of his own people to death. and it is time that he is brought to justice for these crimes. But anyone who suggests that Iraq is more stable or less of a threat to the United States now than it was before the war is fooling themselves. Iraq has never been less stable. and it has never posed a greater threat to the United States than it does today. The war in Iraq has not combated terrorism as President Bush and his administration have repeatedly claimed. It has actually encouraged terrorism by providing a unified target and rallying point for those angry with our Mideast policies. Since we invaded Iraq in March of 2003. hundreds of terrorist attacks have killed thousands of innocent people. both American soldiers and Iraqi civilians. Most people assume that suicide terrorism of the sort that plagues Iraq on a daily basis stems from opposition to democracy in general or hatred of the United States in particular. But Dr. Robert Pape. a University of Chicago professor. reaches a different conclusion based on a comprehensive study on every act of suicide terrorism that has occurred over the last 10 years. Dr. Pape found that the common element linking all suicide attacks around the world is not religion. Rather. suicide terrorism is about pressuring another country to withdraw its military forces from the lands that the terrorists view as their homeland. This helps to explain the intensity of the Iraqi insurgency. The insurgents resent the continued United States occupation of their land and want control over it. If the folks in the Bush administration truly want to end the war. they must honestly convince the Iraqi people that the United States has no longterm objectives in Iraq. But to do that would require a sea change. because we currently maintain over 100 military bases in Iraq. with what certainly appears to be intentions to maintain some of them permanently. Mr. Speaker. we all know that President Bush loves those prime time speeches to our Nation. Maybe it is time for him to eat a little crow and ask the international community to help. He needs to face the fact that the socalled Bush doctrine of preemptive war and unilateral military action just is not working. He should tell the Iraqi people that the United States has no plans to maintain permanent bases in Iraq. nor do we have any designs on controlling Iraqi oil. You could call this speech the ""antiBush doctrine.""",2005-10-20,CA,2005
