speech,date,state,year
"Mr. Speaker. this last Sunday in the Minneapolis Star Tribune on the front page of the opinion section was a picture in Iraq. and above this picture it says. ""Look at this picture. What do you see?"" And then it lists a couple of counterpoints. including one from myself. If you look at the picture. you see a market in Mosul. and you see some fruits up front. you see some women dressed in clean. neat clothes. You see a market with the shelves full. and you see a U.S. soldier from the 101st Airborne watching over that market and making sure that it stays secure. Some in this Chamber have expressed doom and gloom as to what they see. As we listen to the articles in the paper and the TV and the radio. too often we hear that saying. doom and gloom. But there is a different picture that I am going to try to. with several of my colleagues. bring out today. Those who have been to Iraq. as I have. and many of my colleagues. have seen a different picture. There are two sides to this story. and I would argue that the story of advancement. of progress. of moving towards a democracy and an open government. an open economy. is the more accurate picture. I was challenged recently by someone back home in Minnesota who said. Mark. why is not anybody else saying anything positive about Iraq? And my answer would be. well. I am not sure that anybody is reaching beyond some of the press they are getting. because not everybody is going to Iraq. not everybody is looking at other sources. Mr. Speaker. it was Thomas Jefferson who said that you would be better educated if you read nothing than if you read nothing but papers. newspapers. and that is. unfortunately. the case in this situation. Mr. Speaker. the press does a bettei job of reporting crashes than landings We are certainly having great report ing of the crashes. but the landings an the progress that we have seen. witl progress towards quality of life progress towards getting Iraqis gov erning themselves. and progress to wards more stability. more freedom i a country that is very diverse and ha: great potential is something that w( are going to try to bring out hen today. As I mentioned. I will have severa folks joining me. and I would. first o all. like to welcome the gentlemar from Georgia for som comments that he has.",2003-09-23,MN,2003
Mr. Speaker. I yield myself 1 minute just to make the point that I think it is shameful to use our Armed Forces. our men and women over in Iraq today. which includes my little brother who is in harms way each day. I think it is shameful to use them for petty partisan politics. especially when the House bill that passed provided $806 million of relief for our military that our colleagues across the aisle cheerfully voted against. What bothers me is that this Republican House has worked so hard to increase the pay. the housing. the readiness of our military men and women. including my little brother. and as he told me the other day in an email from Iraq. he and his colleagues find it very disturbing that they are used for these petty partisan politics when in fact we should be providing them the relief that we can. I should point out as well that under this Democrat motion to instruct not only does this child tax credit end quickly but we dangle it in front of our military for 2 years and then yank it out right after the elections. which definitely qualifies for petty partisan politics at a time this country cannot afford.,2003-07-16,TX,2003
Mr. Speaker. earlier today. in less than 1 hours time. this House of Representatives set our Nation on a very reckless economic course. We are here today in a time of great national challenge. Overseas we face the large challenge of rebuilding Iraq and trying to establish a democratic form of government in that country of about 23 million people. The President recently asked for. and the Congress appropriated. about $80 billion for our efforts in Iraq. But while we are engaged in Iraq and Afghanistan and elsewhere. we must not forget the very real needs right at home. Because while we build new schools and new hospitals in Iraq and we work to get the Iraqi economy moving again. this administration has been very much out of touch with our needs right here at home and with getting our economy moving again right here in America. Since the Bush administration came to office. we have lost 2.7 million jobs in this country. Gone. vanished. Half a million of those jobs were lost in the last 3 months alone. And today. 8.8 million Americans are unemployed. We need an economic plan that will put America back to work and a plan that will reflect the values and the priorities of the American people. The Republican tax package that was adopted earlier today does not. It will not stimulate the economy. it will only stimulate red ink in the years to come. and it does not reflect the priorities of the American family. it reflects the priorities of a very few at the expense of our national interests. In fact. the message of the Republican tax cut today was loud and clear: forget about the people who are out of work. Forget about the longterm fiscal health of our country. Their number one domestic priority. number one. the most pressing need in America today. according to the package and message they sent. is that the very wealthiest in our country. the people at the very top of the ladder are being taxed too much and we need to give them a big tax cut in the form of capital gains tax cuts and a removal of the tax on stock dividends. I can tell my colleagues. and I think we all know. that the troops who sacrificed so bravely. most of them are not waiting for their big stock dividends in the mail. But our troops. their children. and all Americans will be paying for this in the long run. because this tax cut is going to exacerbate the fiscal problems in this country. We have already had the biggest reversal in American history. from a $5.6 trillion projected surplus to $2 trillion projected deficits. And who is going to pay? In the long run. we are all going to pay. because we either pay in terms of taxes increased on our children in future generations. or major cuts in programs that are important to the American people such as Social Security and Medicare. In fact. we are going to be paying right now. because when we reduce our obligations to the States. when we do not fulfill our promises under the Leave No Child Behind Act. where this year we are $9 billion short of what had been committed. we place greater burdens on the States. And the States either have to do one of two things. They either have to increase revenues and taxes. or they have to cut back on programs. In the State of Maryland. we are seeing dramatic cuts in higher education. Who is paying for those? Students. Their tuition is going up by more than 10 percent. It is simply a tax on students. It is a tax on other people. You cannot get a free lunch. The American people know that. Someone has to pay. Look at what we are doing to veterans benefits. Sure. we are reducing taxes to the very wealthiest in this country. but what is the result? A dramatic cutback in benefits for veterans. So what do we do? There was an alternative plan put forward by the Democrats. but no one was allowed an upordown vote on that plan here in this body. It called for greater relief for the States so they do not have to either increase taxes back home locally or dramatically. cut education and health benefits. It called for a tax break for more middle Americans. increasing the child tax credit. an acceleration of the marriage penalty relief. It called for greater relief for unemployed workers and their families so that they could continue to pay the rent. continue to put food on the table. and that relief has a big impact on the economy. Those are people who need the funds. they have been in need of work. they lost their jobs through no fault of their own. they are continuing to look for work. and when they get that dollar of help. they go out and spend it in the economy. Finally. it provides for business tax credits to provide for investment now. Mr. Speaker. in closing. I just find that this particular proposal that was adopted today sets our Nation on a reckless course. We need a plan for all of America that will move our entire Nation forward. and I hope in the days ahead we will do that. E 1530,2003-05-09,PA,2003
Madam Speaker. I thank the gentleman for yielding me the time. I rise today in support of H. Con. Res. 160. a bill to remove the economic sanctions against Iraq. For too long. the sanctions have drained the Iraqi society and its vital economic energy. In their wake. we find a country whose standard of living has declined significantly. its middle class has all but disappeared. and its infrastructure is in total disrepair. Now that dictator Saddam Hussein. the inspiration for the sanctions regime. has been defeated. there no longer remains any justification for its continuation. I hope that the lifting of the sanctions will lead to a prosperous Iraq economy which will benefit the people and bring them back into the world of free and open commerce. I think that this bill. which signals the commitment of the United States to reconstruction in Iraq. is a good step in the right direction. I trust that the United Nations will respond positively to this initiative. The removal of sanctions. however. will not alone bring prosperity to Iraq. Before there is prosperity. there must first be security. It is my firm belief that the United States. by intervening militarily in Iraq. has assumed the responsibility for the safety and the security of the Iraqi people. I applaud the gentleman from Michigans initiative on the economic front. We must also pay attention to the security front. As we continue to assist Iraq in its reconstruction. I think we need to establish here in Congress an institutional framework for postconflict resolutions and for postconflict operations. Part of that institutional framework would be to strengthen the U.S. Governments ability to respond to authority gaps left by failed or otherwise collapsed states. I propose to draft legislation for the creation of an integrated security component in NATO. which would train and equip special units which would provide for the security of the civilian population serving as an interim police force. I urge my colleagues today to support H. Con. Res. 160. and I look forward to working with the sponsor and other interested Members of Congress to develop this postconflict legislation to close the security and justice gaps so that Iraq and countries emerging from conflict can achieve the economic prosperity to which they. and we. aspire.,2003-05-13,CA,2003
Not just their quality. their enthusiasm. They are committed to this task. They can see in the faces of the Iraqi people that they are trying to help every day what it is doing. for that country and for their people. Quite frankly. I think if every Member of Congress were to go to Iraq. and for that matter. I urge the administration to take business leaders. take average Americans over there. let them see when we help the Iraqis by fixing a well that is no longer working or by opening a school that is no longer functioning. and we will discuss education later in this Special Order. when we do that. the faces of those people light up. And these are people embracing. the concept of freedom and democracy for the first time. When we look into the eyes of our troops and soldiers. they know we are enabling these people to be free for the first time and to understand prosperity for the first time. I could not agree more with the gentlemans comments.,2003-10-01,AZ,2003
Mr. President. before I give my remarks. let me thank my colleagues on both sides of the aisle who have worked so hard to craft this amendment. It has been a great pleasure to work with all of them. I believe the proposal we are advancing this evening not only reflects a great deal of thought and deliberation but is by far the best policy we could pursue. The Senate is engaged in a historic debate: the consideration of the most comprehensive package of military and foreign reconstruction assistance since the Marshall plan. The administration has asked the Congress to appropriate $87 billion. some of which would go to Afghanistan. but the vast majority would go for Iraq. As a member of the Senate Armed Services Committee. I visited Iraq last July. I am well aware of the urgent need for additional funding to support our troops. Rogue elements operating in Iraq. whether it is the remnants of the Baathist regime or terrorists from other countries. endanger our troops and threaten to undermine our efforts to establish a prosperous and democratic society. It is imperative that our troops have all the support they need to be as safe and as effective as possible. In that regard. it is indeed heartening that the $66 billion included in this package that will be used to support our troops enjoys widespread support. The stakes are very high. We simply cannot fail in Iraq. The sacrifices of our young men and women in uniform cannot be in vain. This funding will help to support their efforts and to ensure their success. I also recognize that Iraq needs our assistance in constructing a modern infrastructure and rebuilding its security services. There are $20 billion included in this bill targeted for those purposes. I note the significance of that amount. it is more than our entire foreign aid budget. So this is a very significant assistance package we are considering tonight. It is vital that basic services be restored to the Iraqi people as soon as possible so that their hardships do not continue. Without reliable electricity and clean water. the Iraqi people cannot rebuild their lives. their country. and their economy. I believe there are. however. ways to structure this assistance to provide the Iraqis with the help they need while lessening the impact on the American taxpayer. That is the goal of the bipartisan amendment we have put forth this evening. While I fully support the Presidents overall budget request. we have an obligation to explore ways to lessen the burden on the American taxpayer. To accomplish this goal. our amendment proposes that part of this assistance be provided to the Iraqi people in the form of a loan. to be repaid at some point in the future when Iraq once again becomes the prosperous nation it has the capacity to be. When I visited Iraq. I was struck by how little damage the war actually inflicted on the infrastructure of that nation. I saw firsthand evidence of how our precision weaponry and the care our troops took were successful in targeting installations that posed a threat to our troops or supported the regime of Saddam Hussein while sparing the civilian community. I was also struck. however. by the dreadfully poor infrastructure of communities throughout the nation. Basic elements of a modern nation. such as the electricity. clean water. schools. hospitals. roads. and bridges. were ignored by Saddam Hussein as he looted the country and left it in shambles. In fact. when you think about it. what we are really talking about is construction costs. not reconstruction. Iraq lacks many of the elements of a modern and wellfunctioning infrastructure. I do not believe it is in any way unfair to ask the Iraqi people to invest in their own future by repaying the American taxpayers some of the funding used to construct their infrastructure. particularly when they clearly will have the ability someday to do so. for Iraq is not Afghanistan. Iraq has an educated population. abundant natural resources and. most notably. the second largest oil reserves in the world. The administration projects that Iraq will be generating $20 billion in annual oil revenue within just 2 years. With such economic assets. Iraq undoubtedly one day will have the financial wherewithal to repay this loan. Moreover. asking the Iraqis to take some responsibility for rebuilding their own country will help give them a sense of ownership. increasing the chances that our reconstruction efforts will endure long after our troops have returned home. One of the arguments put forth by opponents of the loan concept is that Iraq is already burdened with an estimated $100 billion to $125 billion in debt from Saddam Husseins regime. But what is often left out is that some of the largest holders of that debt are Saudi Arabia. France. Germany. and Russia. If it were up to the leaders of three of those nations. the Iraqi people would still be suffering under the brutal and repressive regime of Saddam Hussein. The American people will be justifiably outraged if one dime of their money is sent to France while the American people are pouring millions of their hardearned tax dollars into rebuilding Iraq. France. Germany. and Russia should not be paid for the debts incurred by one of the most despicable and violent leaders in decades while the American taxpayer invests billions in the rebuilding and stabilization of Iraq. I also point out that structuring our assistance as loans is not without precedent. Most of the largescale infrastructure projects undertaken in postconflict Bosnia have been administered through the World Bank in the form of loans with reasonable repayment conditions. If this approach is not hindering the reconstruction of Bosnia. the same surely should hold true for Iraq. a country with far greater economic resources. That is why we have joined this evening to offer this amendment. This amendment ensures that the American taxpayer will eventually be reimbursed for a portion of our investment in Iraq. Under our proposal. $10 billion in our construction assistance will be made available for use as loans while the other $10 billion will be available as grants. So you can see we have taken a very reasonable. moderate approach in constructing this amendment. By making available $5 billion in grants for rebuilding Iraqs security services and yet another $5 billion to jump start the reconstruction process. our approach ensures that the administration has the funds necessary to address the immediate and pressing needs. Furthermore. the amendment requires the administration to notify congressional committees after the expenditure of every $250 million of the funds. This provision will help to enhance accountability. The President is then authorized to use the remaining $10 billion as loans to the Iraqi Governing Council or its successor. Here is an important provision of our amendment. We say that if. however. 90 percent of Iraqs bilateral foreign debt is forgiven. then the remaining assistance will be converted to grants and the loans already obligated will be forgiven. So this is a very generous proposal. This provision will encourage other countries to forgive at least a portion of their debt and ensure that we are not financing the rebuilding of Iraqs infrastructure while nations that loaned money to Saddam Hussein are repaid. In addition. the amendment includes a senseoftheSenate provision encouraging all the nations to forgive their preliberation bilateral debt and to provide robust levels of reconstruction aid to postwar Iraq at the upcoming donors conference. The American people are very generous. They not only want to give our troops the support they need but they want to provide help to the Iraqi people. The American people understand that Iraq cannot repay this money immediately. That is not what we are asking. But the American taxpayer does deserve to be repaid eventually for some of our investment in this country. And Iraq deserves to be treated as a country that has the enormous economic potential that it clearly has. Structuring our reconstruction assistance as a loan is a reasonable approach that satisfies both concerns. Again. I acknowledge the hard work of the group of Senators. including the Presiding Officer. who have worked very hard to come up with what I believe is a commonsense approach to this aid package. Thank you. Mr. President. I yield the floor.,2003-10-16,ME,2003
Mr. Speaker. I want to thank my friend from California for yielding to me. We are talking about ending the disabled veterans tax. Now. there may be people listening or watching who do not fully understand what we mean when we say disabled veterans tax. Well. let me just explain it briefly. We know that disabled military retirees are the only Federal employees forced to pay for their own disability. Dollar for dollar they have got to give up their pension benefits in order to collect their disability benefits. We know that over 600.000. maybe some of them are watching today. 600.000 disabled veterans across this country. 10.000 disabled veterans in my State of Ohio. are paying millions of dollars every year because of this tax that we are trying to eliminate. We know that the administration and the President himself. the President cannot escape this issue. The Bush administration has told Congress that if we pass legislation to eliminate this unfair disabled veterans tax. that the President will veto the legislation. So what is Congress going to do? What are we going to do? Most of my Democratic colleagues have signed what we call a discharge petition. When the leadership of this House refuses to bring a bill to the floor. we have a mechanism called the discharge petition. and if we can get 218 Members of this House to sign that petition. that bill comes to the floor automatically. How many have signed this discharge petition? Two hundred and three Members have signed this petition. We need 218 signatures to bring the bill to the floor. How many Republicans have signed this petition? Only two. Two hundred and one Democrats have signed the petition. only two Members of the Republican party. I am proud to say that every Democrat from the State of Ohio has signed this petition. and I am disappointed that not a single Republican from the State of Ohio has signed the discharge petition. Why are they not signing the petition? I suspect it is because their leadership is telling them that they better had not. they better had not buck the leadership. there is a price to pay if they go against the leadership. Who are we here to represent. the leadership of the Republican party or the men and women. especially the disabled veterans. who have voted for us and sent us to represent them in this Chamber? People listening may think. well. this is just a Democrat harangue against the Republicans. this is just a partisan issue. but I have. here in my hands. a news release that was sent out by the national veterans groups. I will tell my colleagues who they are: The AMVETS. the Disabled American Veterans. the Military Order of the Purple Heart. the Paralyzed Veterans of America. the Vietnam Veterans of America. They put a heading on their press release that is pretty strong. They say. Congress declares war against disabled veterans. and I would like to share with my colleagues just some of the things these national representatives of the veterans have said in their press release. They begin by saying. The House majority leadership has shown callous contempt for the sacrifices of Americas defenders by attempting to impose overly restrictive conditions that would limit benefits for disabilities from military service. That is what these organizations say. They continue. An untold number of men and women will return from Iraq and the war on terror with disabilities. The military and veterans organizations worry that many of them will not be able to directly identify or prove the origin of their ailments. but that certainly does not mean that they should be ignored. Any suggestion to the contrary is outrageous and shameful. they say. Then they conclude their press release by saying. Our Nation is engaged in a war with a hostile enemy that would willingly kill innocent civilians. Yet it seems that some members of our government would shortchange those who protect us. They continue. Disabled veterans should not have to fight their own government for the benefits they have earned. In a callous effort to limit governments obligations to our former. current and future defenders. authors of the provision in the Defense authorization bill took it upon themselves to rewrite the law regarding benefits for disabled veterans. That is what the national veterans organizations are saying. This is not just a Democratic attack upon the Republican leadership or upon the President. We can solve this problem quickly. If we just had a few more Republicans who would walk down here to the well of the House and put their signatures on this discharge petition. within a matter of hours that bill would be brought to this floor. and we could end the disabled veterans tax. Probably a lot of veterans are watching today or families of veterans or just simply Americans who care about veterans. I think it is fair for me to point out that President Bush is willing to spend millions in Iraq to develop a ZIP code system. but he is not willing to spend for Americas veterans. He is willing to spend millions building roads in Iraq. but he is neglecting to provide for our veterans. He is willing to spend millions to build hospitals and clinics in Iraq. but he is unwilling to support eliminating this disabled veterans tax. We need to get our priorities right. and I hope the people in this country start letting the Members of this House who are unwilling to sign this discharge petition know how they feel about it. Every Member of this House who goes back to their Districts this weekend should be confronted with veterans saying. sir or maam. have you signed the discharge petition. and if you have not. why not?,2003-10-01,OH,2003
"Mr. Speaker. I thank the gentleman so much. You know. the gentleman just used the quote from former Secretary Madeleine Albright. and I heard some about this this weekend while I was back in Tennessee. people who were disappointed. Democrats who were disappointed that she had chosen to make that remark of saying that our policy and our Presidents policy was not good for America and not good for the world. This past weekend. I was literally all over the State in Tennessee. We were over in Memphis. in Shelby County. which is part of my district. the seventh district of Tennessee. Also part of the ninth and eighth districts of Tennessee. And then I was over with our good colleague. the gentleman from Tennessee . in his district. the fourth district. and up in Knox County. with our colleague. the gentleman from Tennessee . in his district. And I can tell my colleague that I was very encouraged with the way Tennesseeans support our President. the way they support our troops. they way they support our leadership in fighting this war on terrorism. the way they recognize that this is a global effort to destroy terrorism. And. Mr. Speaker. the people back home are really watching this. They are listening to the news. they are getting their information on the Internet. they are paying attention. They know that there are numerous links between Iraq and terrorism. and they understand the importance that it is. They know that it is vital that we secure an ally with Iraq. that we help them build a free and open society. that we help them get the underpinnings and the foundation so that they have a productive and aggressive economy. And they are committed to working with us as we get through the war on terrorism. I even had one of my constituents this weekend say that they thought that it was only in this stratified Potomac fevered air of Washington that people did not have the courage and the commitment to see this war through. Mr. Speaker. I was today reading some emails that had come to me. and one of them I thought was just terrific. It came from a gentleman who is a Vietnam veteran who said some things so very well. talking about how when he was serving in Vietnam that the liberal news media flamed the sparks of unrest and how that played on Congress and how Congress decisions during that time affected him as a soldier. It was interesting to sit here and to read all of this. He went on in his email and he used the Patrick Henry quote that I absolutely love: ""Give me liberty or give me death."" And as he has watched the war in Iraq. he said this had come back to him so many times and how he thought that that is so true. that without that personal freedom. which is the foundation of our constitution and of our society. then nothing else means as much. and how important it is that we recognize what a threat terrorism is. how important it is to win this war in Iraq. how important it is to build an ally with Iraq. And. of course. we have talked much tonight about the gentlewoman from California. the minority leader. and her comments in December of 1998 when she gave her floor speech characterizing Saddam Hussein as a tyrant. which we all believe he is. and a threat to international security. which we all agree that he is. We have been through that quote tonight. but I want to go back into it. There is plenty of proof he had engaged in the development of weapons of mass destruction. I agree with what the minority leader said at that time. we all do. We need to realize that in 1998 Bill Clinton was the President. Today. we do have a different President. And President George Bush is leading us in this war on terror. Our colleague from Texas just talked about the great work that the men and women are doing over in Iraq and the difference that they are making. I look forward to going and seeing this firsthand. Now the minority leader is coming along and she is questioning what we are doing in Iraq. and she is charging the administration with having a failed plan. The only thing this administration has failed to do. I believe. is to foresee how quickly Saddam Husseins regime was going to collapse. To some extent. I think they have been victims of their own success. Because as our colleague from Texas pointed out. things have moved rather quickly. No one expected Baghdad to fall that quickly. They thought it was going to take months instead of weeks. I would like to quote from another Member of the minority party. who. unlike Minority Leader PELOSI. is considering the big picture. This is a quote from the gentleman from Missouri . he is a Democrat. and he is considering the big picture. This is what the gentleman from Missouri had to say in September of 2003. this year. in the publication ""The Hill."" and I quote. E 2230 ""The media stresses the wounds. the injuries. and the deaths. as they should. but for instance in Northern Iraq. General David Petraeus."" and I will pause here and say General Petraeus commands the 101st Airborne from my district. ""has 3.100 projects. from soccer fields to schools to refineries. all good stuff and that is not being reported. Failure is not an option. Should the reconstruction effort fail. Iraq would become a snake pit. a haven for terrorists."" Mr. Speaker. we have learned the lessons of World War I. We learned from the successes of World War II. We know it is incredibly important that we see Iraq through to being firmly planted and seated on a firm foundation so they can be a success. I do not think it is patriotic for us to sit back and let terrorism take hold there or come over here and take ahold on our shores. I do not think it is patriotic to let tyrants kick dirt in our faces for a decade. I know the people in my district are tired of America choosing rhetoric over action. and they are pleased with the action that they are seeing. September 11 gave us cause for action. There is a great song that one of my friends and songwriter. David Worley has written. The song is Have You Forgotten. and that song is a reminder to each and every one of us that September 11 occurred. that men and women lost their lives. that terrorism brought its war to our shores. and it is important that we support the reconstruction in Iraq and support our leadership as they lead through this.",2003-10-20,TN,2003
Mr. Speaker. the Senate on a voice vote yesterday. kind of pathetic. voted to borrow $87 billion from the American people for the conflict in Iraq. A substantial portion of that is to go to rebuild. or build. not rebuild. build the infrastructure of Iraq. As the gentlewoman from Ohio said. some of it is going to pay Iraqis for makework or noshow jobs when we cannot get unemployment benefits for Americans here. If we took that money and we divided it up. there are 435 of us here in the House of Representatives. and we divided it up among our congressional districts. that would be $220 million per congressional district. Now. my district has just about the highest rate of unemployment in the United States. My State has the highest rate of unemployment. my district and the gentleman from Oregons are unfortunately right up there in the State. Mr. Speaker. $22 million could mean a lot for us. It could put a lot of people to work. Albany. Oregon. under Federal mandate. is going to borrow money to build a new water system. Of course. we are going to give $50 million to Iraq to build a new water system for one city. Sweet Home. Oregon. same thing. Federal mandate. They can borrow some money. but we are going to give money to Iraq to build them new water systems. My port of Port Orifice sewage system. fell into the ocean after a big storm. Problem. The Federal Government says this depressed little coastal community. they will lend them some money to help them do that project. lend them some money. But. in Iraq. we are going to give them new sewer systems. The American people are borrowing money to build these projects in Iraq with no prospect of being repaid under the leadership of President Bush. We could also. with the same $220 million. guarantee my coastal ports. which were zeroed out in the Presidents budget for continued dredging maintenance. we could dredge those ports for 5 years. We still have not spent $220 million yet. We are working on it. This is just one district. Just Imagine what this would mean across the United States of America if every Member of Congress got to take that $220 million home instead of sending it over to this deep pit in Iraq. We could give 1.000 students full tuition. room and board at the University of Oregon or Oregon State in my district. 10.000 community college scholarships. Instead of them having to borrow money from the Federal Government. we could have given them scholarships. This is just one congressional district. We could give thousands. more than 10.000 students full tuition. a free ride for the year. We could put thousands to work on infrastructure projects meeting Federal mandates. That is just one congressional district. Imagine if that were repeated across the United States of America. If only the President would borrow money to invest here. or even spend money like the unemployment trust fund. Now. since this $87 billion that was borrowed or authorized yesterday by the Senate. the President will probably sign the bill soon. following the $79 billion that we borrowed last April which is not yet spent. we have to wonder. what is the plan? The plan was to vote on borrowing another $87 billion before they spent the $79 billion. And so what are we going to do to bring stability? Well. now they say what they are going to do Is train Iraqis. Now. on September 5. Donald Rumsfeld said there were 55.000 Iraqis all told. including security guards. et cetera. trained. Since then the estimates of the Iraqi forces have grown at the rate that would mean they have trained 1.000 people a day. Wow. Must be some program. Unfortunately. they have not yet begun the $1.2 billion program to train Iraqis in Jordan to become police and security. Yes. that is right. We are going to pay $1.2 billion. The French and the Germans offered to do it for free. and they are good at training people do to that. but God forbid that we should save the American taxpayers $1.2 billion and take something from the French and Germans that they are good at. So the Jordanians and. of course. we know they are really good at this. are going to be training the Iraqis to become police. But somehow. magically the numbers keep going on up. It is like zip. zip. zip. Then last week Deputy Defense Secretary Paul Wolfowitz speaking in Georgetown raised that figure to 90.000. Three days later Rumsfeld said 100.000. Now. how is this happening? Do we think this is really happening? Do we think we can believe these folks? Now remember. these are the same people who told us. this is a country that can afford to rebuild itself and pay for its own reconstruction. and soon. That is what we were told. That is what the American people were told. They would be waving little flags. welcoming us as victors. Our kids do not have the flak jackets they need because Rummy said there would only be 30.000 Americans there by now. and we have more than 30.000 flak jackets. They have planned miserably. I would recommend to my colleagues and everybody. Blueprint for a Mess from the New York Times on Sunday. November 2. New York Times magazine. the best compilation of the total abysmal failure to plan and. in fact. to reject planning for the postwar Iraq by this administration.,2003-11-04,OR,2003
I thank the gentleman for yielding me this time. Mr. Speaker. this bill before us will lower taxes for individuals. married couples. parents. small businesses. investors. and workers at every income level. and it will create jobs. I thank Chairman THOMAS for producing a great bill. and I thank him for agreeing to perfect it as this process moves forward. Mr. Speaker. this jobs and growth package will not only grow the national economy but through that growth it will help us support and fund the war on terror and our other priorities for years to come. The American people understand the relationship between the war on terror and economic recovery. even if the opposition does not. They understand success in one depends on the other. Indeed. history has proven. even in the last 19 months. that prosperity without security is fleeting and security without prosperity is impossible. Today the United States may be the most prosperous and secure Nation on Earth. but make no mistake about it. people are hurting. Unemployment is on the rise and anxiety runs high. Investment is chilled and the stock market is stagnant. Many Americans are unsure about their jobs and many small businesses are on the brink. Mr. Speaker. on behalf of the Republican majority: This will not stand. Great nations do not cringe when their prosperity and security are threatened. But that is exactly what the opposition proposed. Last month when Americans cheered as Allied troops liberated 24 million Iraqis and removed a terrorist dictator from power. Democrats grumbled that we could have brought down that statue for a lot less money. And now this month they have the gall to suggest that we twiddle our thumbs as Americans struggle to feed their families. They make time to block qualified judicial nominees and critique the Presidents travel wardrobe. but not to develop a serious plan that creates jobs. So embarrassing is the minoritys lack of leadership on the economy that they did not even propose a remedy to the economy until just yesterday. And that proposal? To raise taxes. How unimaginative. How pathetic. How typical. Just as they failed to propose serious alternatives to the energy bill. the budget and Operation Iraqi Freedom. the Democrats have once again walked away from the national debate. They have ignored the troubles of the American people and surrendered the field of public discourse. And they demonstrated once again that they are unwillingindeed incapableof governing in these very serious times. So be it. The American people saw the differences between the parties on how best to deal with threats to our security. and today they will see our differences on how best to deal with threats to our prosperity. To those who would follow the timid path of the donothing Democrats. I have to thank you. Your vote will only make those differences all the clearer to the American people. But to those who would join the President and the majority today to pass this bill. you will be remembered. years from now. as the men and women of the 108th who got our economy moving again and who made the United States a safer and a more prosperous place. For your vote. I do not have to thank you. History will.,2003-05-09,TX,2003
